Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.21%
ICICI Bank Ltd.,Equity,8.06%
Larsen & Toubro Ltd.,Equity,6.02%
Infosys Ltd.,Equity,5.94%
Axis Bank Ltd.,Equity,5.09%
Cash,Others,4.87%
Bharti Airtel Ltd.,Equity,4.47%
Cipla Ltd.,Equity,4.44%
Sun Pharmaceuticals Ind Ltd.,Equity,4.33%
KEI Industries Ltd.,Equity,4.30%
Maruti Suzuki India Ltd.,Equity,3.52%
Reliance Industries Ltd.,Equity,3.48%
Indusind Bank Ltd.,Equity,3.46%
State Bank Of India,Equity,3.09%
Tata Steel Ltd.,Equity,3.02%
Sobha Ltd.,Equity,2.81%
Zomato Ltd.,Equity,2.80%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,2.36%
Hindustan Unilever Ltd.,Equity,2.18%
HDFC Life Insurance Company Ltd.,Equity,1.99%
Jubilant Foodworks Ltd.,Equity,1.96%
Interglobe Aviation Ltd.,Equity,1.86%
Deepak Nitrite Ltd.,Equity,1.83%
Cummins India Ltd.,Equity,1.80%
PB Fintech Ltd.,Equity,1.73%
Ashok Leyland Ltd.,Equity,1.49%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.11%
Mphasis Ltd.,Equity,1.04%
Somany Ceramics Ltd.,Equity,0.97%
Coforge Ltd.,Equity,0.53%
Treasury Bill (91D),Others,0.24%
