Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,9.49%
Sun Pharmaceuticals Ind Ltd.,Equity,7.18%
Reliance Industries Ltd.,Equity,5.92%
Infosys Ltd.,Equity,4.97%
Bharti Airtel Ltd.,Equity,4.42%
Avenue Supermarts Ltd.,Equity,4.17%
Larsen & Toubro Ltd.,Equity,4.07%
Siemens Ltd.,Equity,3.95%
TVS Motor Company Ltd.,Equity,3.44%
Dabur India Ltd.,Equity,3.36%
National Thermal Power Corporation Ltd.,Equity,3.36%
SBI Life Insurance Company Ltd.,Equity,3.21%
Zydus Lifesciences Ltd.,Equity,3.10%
Hero Motocorp Ltd.,Equity,2.97%
Ultratech Cement Ltd.,Equity,2.58%
Cummins India Ltd.,Equity,2.56%
Muthoot Finance Ltd.,Equity,2.55%
Mankind Pharma Ltd.,Equity,2.53%
Syngene International Ltd.,Equity,2.46%
Interglobe Aviation Ltd.,Equity,2.46%
Havells India Ltd.,Equity,2.38%
Indian Bank,Equity,2.37%
Info Edge (India) Ltd.,Equity,2.24%
Timken India Ltd.,Equity,2.03%
ICICI Lombard General Insurance Company Ltd.,Equity,1.94%
AIA Engineering Ltd.,Equity,1.89%
Zee Entertainment Enterprises Ltd.,Equity,1.87%
The Phoenix Mills Ltd.,Equity,1.84%
Bata India Ltd.,Equity,1.50%
Oberoi Realty Ltd.,Equity,1.36%
Triparty Repo,Others,1.34%
Muthoot Finance Ltd.,Equity,0.57%
Cash Margin,Debt,0.31%
Treasury Bill (364D),Others,0.30%
Siemens Ltd.,Equity,0.26%
Treasury Bill (182D),Others,0.15%
SBI Life Insurance Company Ltd.,Equity,-0.02%
Derivative,Others,-0.17%
Current Assets,Others,-0.27%
Zee Entertainment Enterprises Ltd.,Equity,-0.65%
