Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.08%
Net Receivables/(Payable),Others,5.92%
Reliance Industries Ltd.,Equity,5.68%
ICICI Bank Ltd.,Equity,4.69%
Sterling & Wilson Renewable Energy Ltd. (Erstwhile Sterling & Wilson Solar Ltd.),Equity,3.99%
Solar Industries India Ltd.,Equity,3.79%
Kaynes Technology India Pvt. Ltd.,Equity,3.77%
Graphite India Ltd.,Equity,3.31%
Tata Consumer Products Ltd.,Equity,3.12%
Affle (India) Ltd.,Equity,3.08%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,3.03%
Ultratech Cement Ltd.,Equity,3.00%
Larsen & Toubro Ltd.,Equity,3.00%
Tata Consultancy Services Ltd.,Equity,2.98%
Multi Commodity Exchange of India Ltd.,Equity,2.97%
Sun Pharmaceuticals Ind Ltd.,Equity,2.92%
SBI Life Insurance Company Ltd.,Equity,2.81%
AIA Engineering Ltd.,Equity,2.80%
Suzlon Energy Ltd.,Equity,2.80%
Cummins India Ltd.,Equity,2.79%
Craftsman Automation Ltd.,Equity,2.70%
Maruti Suzuki India Ltd.,Equity,2.65%
ITC Ltd.,Equity,2.62%
Timken India Ltd.,Equity,2.47%
Sundram Fasteners Ltd.,Equity,2.47%
Abbott India Ltd.,Equity,2.34%
State Bank Of India,Equity,2.30%
Power Finance Corporation Ltd.,Equity,2.26%
Bharti Airtel Ltd.,Equity,2.21%
Praj Industries Ltd.,Equity,2.16%
Ganesha Ecosphere Ltd.,Equity,1.82%
ITI Mutual Fund (ITI Banking & PSU Debt Fund - Direct - Growth),Debt,1.46%
Power Finance Corporation Ltd.,Equity,1.12%
Derivative,Others,-1.12%
