Company Name,Asset Type,Percentage Allocation
Larsen & Toubro Ltd.,Equity,9.08%
ICICI Bank Ltd.,Equity,8.93%
Equitas Small Finance Bank Ltd.,Equity,6.47%
Trent Ltd.,Equity,6.17%
Hindustan Aeronautics Ltd.,Equity,6.07%
Global Health Ltd.,Equity,5.87%
Ltimindtree Ltd.,Equity,5.82%
Dixon Technologies (India) Ltd.,Equity,5.53%
State Bank Of India,Equity,5.14%
Infosys Ltd.,Equity,4.64%
Central Depository Services (India) Ltd.,Equity,4.57%
Varun Beverages Ltd.,Equity,4.48%
Mankind Pharma Ltd.,Equity,4.16%
BSE Ltd.,Equity,4.15%
Zomato Ltd.,Equity,3.88%
Bajaj Auto Ltd.,Equity,3.19%
Century Textiles & Industries Ltd.,Equity,3.13%
Interglobe Aviation Ltd.,Equity,3.03%
Persistent Systems Ltd.,Equity,2.25%
Triparty Repo,Others,1.88%
Manorama Industries Ltd.,Equity,1.29%
Net Receivables/(Payable),Others,0.28%
