Company Name,Asset Type,Percentage Allocation
Bank Of Baroda,Equity,5.34%
National Thermal Power Corporation Ltd.,Equity,4.67%
Hero Motocorp Ltd.,Equity,4.66%
Tata Motors - DVR - A - ORDY,Equity,4.54%
Ultratech Cement Ltd.,Equity,4.33%
ITC Ltd.,Equity,4.04%
Schaeffler India Ltd.,Equity,4.00%
Hitachi Energy India Ltd.,Equity,3.95%
ICICI Bank Ltd.,Equity,3.86%
Thermax Ltd.,Equity,3.85%
REC Ltd.,Equity,3.66%
Spandana Sphoorty Financial Ltd.,Equity,3.53%
Trent Ltd.,Equity,3.35%
Jubilant Foodworks Ltd.,Equity,3.18%
Larsen & Toubro Ltd.,Equity,3.09%
Godrej Properties Ltd.,Equity,3.02%
Infosys Ltd.,Equity,3.01%
Steel Authority Of India Ltd.,Equity,2.94%
Tech Mahindra Ltd.,Equity,2.90%
TVS Motor Company Ltd.,Equity,2.84%
Prince Pipes & Fittings Ltd.,Equity,2.79%
Navin Fluorine International Ltd.,Equity,2.77%
Titan Company Ltd.,Equity,2.64%
Narayana Hrudayalaya Ltd.,Equity,2.60%
Amber Enterprises India Ltd.,Equity,2.59%
Sumitomo Chemical India Ltd.,Equity,2.53%
The Phoenix Mills Ltd.,Equity,2.53%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,2.37%
Zomato Ltd.,Equity,2.32%
Triparty Repo,Others,2.13%
Current Assets,Others,-0.01%
