Company Name,Asset Type,Percentage Allocation
Reliance Industries Ltd.,Equity,7.48%
ICICI Bank Ltd.,Equity,6.95%
State Bank Of India,Equity,6.34%
Infosys Ltd.,Equity,5.73%
Grasim Industries Ltd.,Equity,5.36%
Kotak Mahindra Bank Ltd.,Equity,4.64%
National Thermal Power Corporation Ltd.,Equity,4.24%
Hindustan Unilever Ltd.,Equity,3.92%
Coal India Ltd.,Equity,3.66%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,3.29%
Maruti Suzuki India Ltd.,Equity,3.21%
Power Finance Corporation Ltd.,Equity,3.16%
Larsen & Toubro Ltd.,Equity,2.91%
Piramal Enterprises Ltd.,Equity,2.90%
HCL Technologies Ltd.,Equity,2.83%
Sun Pharmaceuticals Ind Ltd.,Equity,2.65%
Oil India Ltd.,Equity,2.54%
Hero Motocorp Ltd.,Equity,2.52%
United Spirits Ltd.,Equity,2.29%
Tech Mahindra Ltd.,Equity,2.23%
Kirloskar Oil Engines Ltd.,Equity,2.17%
Jindal Steel & Power Ltd.,Equity,2.14%
Triparty Repo,Others,2.11%
Hindalco Industries Ltd.,Equity,2.10%
Gujarat Fluorochemicals Ltd.,Equity,2.00%
Gujarat State Fertilizers & Chemicals Ltd.,Equity,1.99%
Century Textiles & Industries Ltd.,Equity,1.92%
Biocon Ltd.,Equity,1.88%
Triveni Engineering & Industries Ltd.,Equity,1.68%
Zee Entertainment Enterprises Ltd.,Equity,1.58%
Thomas Cook (India) Ltd.,Equity,1.46%
Net Receivables/(Payable),Others,0.13%
