Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.94%
ICICI Bank Ltd.,Equity,8.58%
Infosys Ltd.,Equity,8.48%
Reliance Industries Ltd.,Equity,5.80%
Axis Bank Ltd.,Equity,4.77%
Bharti Airtel Ltd.,Equity,4.50%
Triparty Repo,Others,4.26%
Sapphire Foods India Ltd.,Equity,3.78%
Fsn ECommerce Ventures Ltd.,Equity,3.69%
Sona Blw Precision Forgings Ltd.,Equity,3.10%
One 97 Communications Ltd.,Equity,2.90%
Syngene International Ltd.,Equity,2.90%
SBI Cards & Payment Services Pvt. Ltd.,Equity,2.77%
J. K. Cement Ltd.,Equity,2.71%
Maruti Suzuki India Ltd.,Equity,2.69%
Gujarat Fluorochemicals Ltd.,Equity,2.64%
Gujarat State Petronet Ltd.,Equity,2.58%
Orient Electric Ltd.,Equity,2.57%
SKF India Ltd.,Equity,2.45%
Gland Pharma Ltd.,Equity,2.29%
Max Financial Services Ltd.,Equity,2.29%
Kotak Mahindra Bank Ltd.,Equity,2.21%
Mphasis Ltd.,Equity,2.14%
Indian Energy Exchange Ltd.,Equity,2.07%
State Bank Of India,Equity,1.93%
SRF Ltd.,Equity,1.83%
Dabur India Ltd.,Equity,1.56%
Voltas Ltd.,Equity,1.46%
Chemplast Sanmar Ltd.,Equity,0.64%
Zomato Ltd.,Equity,0.53%
Net Receivables/(Payable),Others,-0.03%
