Company Name,Asset Type,Percentage Allocation
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,7.63%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,6.30%
BSE Ltd.,Equity,6.21%
Fsn ECommerce Ventures Ltd.,Equity,5.87%
ABB India Ltd.,Equity,5.36%
L&T Technology Services Ltd.,Equity,5.28%
Sun Pharmaceuticals Ind Ltd.,Equity,4.94%
HDFC Bank Ltd.,Equity,4.79%
Ltimindtree Ltd.,Equity,4.59%
Avenue Supermarts Ltd.,Equity,4.52%
Bharti Airtel Ltd.,Equity,4.34%
ICICI Bank Ltd.,Equity,4.17%
Larsen & Toubro Ltd.,Equity,4.15%
Indusind Bank Ltd.,Equity,3.51%
Piramal Enterprises Ltd.,Equity,3.39%
HDFC Life Insurance Company Ltd.,Equity,3.20%
Dreamfolks Services Ltd.,Equity,3.20%
Hindustan Aeronautics Ltd.,Equity,3.14%
Reliance Industries Ltd.,Equity,2.55%
Religare Enterprises Ltd.,Equity,2.42%
Net Receivables/(Payable),Others,2.33%
KFIN Technologies Ltd.,Equity,2.27%
Zomato Ltd.,Equity,1.91%
Fino Payments Bank Ltd.,Equity,1.88%
One 97 Communications Ltd.,Equity,1.57%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.47%
