Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,8.54%
HDFC Bank Ltd.,Equity,7.59%
Alphabet Inc,Equity,7.37%
Muthoot Finance Ltd.,Equity,7.17%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,6.00%
Bharti Airtel Ltd.,Equity,5.94%
State Bank Of India,Equity,5.50%
Divi Laboratories Ltd.,Equity,5.33%
Solar Industries India Ltd.,Equity,4.91%
Bajaj Finance Ltd.,Equity,4.88%
ICICI Lombard General Insurance Company Ltd.,Equity,4.06%
Bharti Airtel Ltd.,Equity,3.82%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,3.70%
HDFC Asset Management Company Ltd.,Equity,3.39%
Hatsun Agro Product Ltd.,Equity,3.22%
Triparty Repo,Others,2.93%
Shree Cement Ltd.,Equity,2.73%
Relaxo Footwears Ltd.,Equity,2.42%
Page Industries Ltd.,Equity,2.32%
Medplus Health Services Ltd.,Equity,1.88%
Delhivery Ltd.,Equity,1.77%
Jubilant Foodworks Ltd.,Equity,1.41%
HDFC Life Insurance Company Ltd.,Equity,1.21%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,1.16%
Treasury Bill (364D),Others,0.63%
Other Margin,Debt,0.06%
Jubilant Foodworks Ltd.,Equity,0.06%
Net Receivables/(Payable),Others,0.05%
Derivative,Others,-0.06%
