Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.72%
Reliance Industries Ltd.,Equity,7.13%
Infosys Ltd.,Equity,5.71%
ICICI Bank Ltd.,Equity,5.56%
Larsen & Toubro Ltd.,Equity,5.34%
Triparty Repo,Others,4.77%
Nestle India Ltd.,Equity,4.33%
State Bank Of India,Equity,3.84%
Canara Bank,Equity,3.43%
Avenue Supermarts Ltd.,Equity,3.40%
Tech Mahindra Ltd.,Equity,3.03%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.81%
Zomato Ltd.,Equity,2.70%
Bajaj Finance Ltd.,Equity,2.69%
Bharat Electronics Ltd.,Equity,2.67%
Sun Pharmaceuticals Ind Ltd.,Equity,2.61%
Ltimindtree Ltd.,Equity,2.56%
ICRA Ltd.,Equity,2.55%
Fsn ECommerce Ventures Ltd.,Equity,2.53%
Aurobindo Pharma Ltd.,Equity,2.51%
Triveni Turbine Ltd.,Equity,2.39%
Info Edge (India) Ltd.,Equity,2.35%
Dr Reddys Laboratories Ltd.,Equity,2.22%
Ashok Leyland Ltd.,Equity,2.19%
United Breweries Ltd.,Equity,2.11%
Sona Blw Precision Forgings Ltd.,Equity,2.05%
ABB India Ltd.,Equity,1.81%
Td Power Systems Ltd.,Equity,1.71%
Arman Financial Services Ltd.,Equity,1.65%
NIIT Learning Systems Ltd.,Equity,1.63%
Coforge Ltd.,Equity,1.32%
Cash,Others,-0.33%
