Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.26%
Tech Mahindra Ltd.,Equity,8.10%
Larsen & Toubro Ltd.,Equity,5.86%
Reliance Industries Ltd.,Equity,5.75%
Axis Bank Ltd.,Equity,4.72%
State Bank Of India,Equity,4.72%
Lupin Ltd.,Equity,4.60%
Alkem Laboratories Ltd.,Equity,3.79%
Cyient Ltd.,Equity,3.71%
National Thermal Power Corporation Ltd.,Equity,3.53%
ICICI Bank Ltd.,Equity,3.50%
PVR INOX Ltd.,Equity,3.32%
Nippon Life India Asset Management Ltd.,Equity,3.04%
Ashok Leyland Ltd.,Equity,2.92%
Cash,Others,2.88%
Power Grid Corporation Of India Ltd.,Equity,2.85%
Indusind Bank Ltd.,Equity,2.77%
Craftsman Automation Ltd.,Equity,2.77%
ACC Ltd.,Equity,2.64%
Newgen Software Technologies Ltd.,Equity,2.64%
SBI Life Insurance Company Ltd.,Equity,2.35%
Ultratech Cement Ltd.,Equity,2.33%
KEC International Ltd.,Equity,2.27%
Thermax Ltd.,Equity,2.22%
DLF Ltd.,Equity,2.17%
Power Finance Corporation Ltd.,Equity,2.10%
Healthcare Global Enterprises Ltd.,Equity,1.75%
Kajaria Ceramics Ltd.,Equity,1.06%
Yatra Online Ltd.,Equity,0.77%
First Source Solutions Ltd.,Equity,0.23%
Bharti Airtel Ltd.,Equity,0.23%
Repo,Others,0.16%
