Company Name,Asset Type,Percentage Allocation
7.18 GOI Jul 24 2037,Debt,50.41%
7.18 GOI Aug 14 2033,Debt,8.63%
7.3 GOI Jun 19 2053,Debt,3.55%
GOI,Debt,3.47%
7.25 GOI Jun 12 2063,Debt,3.45%
GOI,Debt,3.35%
7.26 GOI Feb  6 2033,Debt,2.02%
GOI,Debt,1.36%
GOI,Debt,1.32%
GOI,Debt,1.32%
GOI,Debt,1.24%
CBLO(CCIL),Others,1.24%
GOI,Debt,1.20%
Net Receivables/(Payable),Others,1.16%
GOI,Debt,1.05%
GOI,Debt,1.02%
GOI,Debt,0.98%
GOI,Debt,0.95%
GOI,Debt,0.93%
GOI,Debt,0.91%
GOI,Debt,0.90%
GOI,Debt,0.88%
GOI,Debt,0.84%
GOI,Debt,0.81%
GOI,Debt,0.60%
GOI,Debt,0.59%
GOI,Debt,0.57%
GOI,Debt,0.45%
8.24 Tamil Nadu SDL Sep  9 2025,Debt,0.36%
7.79 Uttar Pradesh SDL Mar 29 2033,Debt,0.36%
8.31 Kerala SDL  Aug 26 2025,Debt,0.29%
GOI,Debt,0.29%
GOI,Debt,0.26%
GOI,Debt,0.25%
GOI,Debt,0.24%
7.72 Maharashtra SDL  Mar 23 2032,Debt,0.22%
GOI,Debt,0.21%
GOI,Debt,0.19%
GOI,Debt,0.19%
8.38 Haryana SDL  Jan 27 2026,Debt,0.18%
7.17 GOI Apr 17 2030,Debt,0.18%
GOI,Debt,0.18%
GOI,Debt,0.17%
GOI,Debt,0.17%
GOI,Debt,0.17%
GOI,Debt,0.16%
8.28 GOI Sep 21 2027,Debt,0.15%
8.29 Maharashtra SDL  Aug 26 2025,Debt,0.12%
7.77 Rajasthan SDL Mar 23 2033,Debt,0.11%
7.59 GOI Jan 11 2026,Debt,0.11%
7.81 Uttar Pradesh SDL Mar 29 2034,Debt,0.06%
8.26 GOI Aug  2 2027,Debt,0.05%
5.63 GOI Apr 12 2026,Debt,0.05%
8.35 Jharkhand SDL Dec 12 2028,Debt,0.03%
8.17 Tamil Nadu SDL Nov 26 2025,Debt,0.02%
GOI,Debt,0.02%
GOI,Debt,0.02%
8.3 GOI Jul  2 2040,Debt,0.00%
