Company Name,Asset Type,Percentage Allocation
7.18 GOI Aug 14 2033,Debt,18.30%
7.17 GOI Jan  8 2028,Debt,10.21%
7.26 GOI Feb  6 2033,Debt,10.03%
6.79 GOI May 15 2027,Debt,8.45%
7.17 GOI Apr 17 2030,Debt,7.50%
7.26 GOI Aug 22 2032,Debt,7.09%
7.1 GOI Apr 18 2029,Debt,6.23%
7.26 GOI Jan 14 2029,Debt,3.97%
7.06 GOI Apr 10 2028,Debt,3.95%
6.45 GOI Oct  7 2029,Debt,3.83%
7.18 GOI Jul 24 2037,Debt,3.50%
7.38 GOI Jun 20 2027,Debt,2.73%
6.79 GOI Dec 26 2029,Debt,2.66%
4.45 GOI Oct 30 2034,Debt,2.48%
Current Assets,Others,2.05%
4.04 GOI Oct  4 2028,Debt,1.86%
8.6 Rajasthan SDL Nov  6 2028,Debt,1.09%
Reverse Repo,Others,1.05%
7.3 GOI Jun 19 2053,Debt,1.03%
Triparty Repo,Others,0.87%
7.32 GOI Nov 13 2030,Debt,0.42%
7.62 Uttar Pradesh SDL Dec 20 2033,Debt,0.21%
6.99 GOI Dec 15 2051,Debt,0.15%
7.67 Uttar Pradesh SDL Dec 27 2033,Debt,0.13%
8.24 GOI Nov 10 2033,Debt,0.12%
7.95 GOI Aug 28 2032,Debt,0.05%
8.97 GOI Dec  5 2030,Debt,0.05%
6.76 GOI Feb 22 2061,Debt,0.01%
