Company Name,Asset Type,Percentage Allocation
7.33 GOI Sep 22 2033,Debt,24.64%
7.38 GOI Jun 20 2027,Debt,21.44%
7.18 GOI Aug 14 2033,Debt,18.49%
4.04 GOI Oct  4 2028,Debt,9.49%
7.06 GOI Apr 10 2028,Debt,9.40%
Current Assets,Others,8.46%
Derivative,Others,6.69%
Triparty Repo,Others,6.28%
4.45 GOI Oct 30 2034,Debt,1.66%
7.37 GOI Oct 23 2028,Debt,0.06%
8.03 GOI Dec 15 2024,Debt,0.06%
8.05 Rajasthan SDL Feb 25 2025,Debt,0.01%
7.18 GOI Jul 24 2037,Debt,0.01%
Hongkong & Shanghai Banking Corporation,Debt,-2.23%
Hongkong & Shanghai Banking Corporation,Debt,-2.23%
ICICI Securities Ltd.,Debt,-2.23%
