Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,13.37%
Reliance Industries Ltd.,Equity,9.12%
ICICI Bank Ltd.,Equity,7.28%
Infosys Ltd.,Equity,5.74%
Larsen & Toubro Ltd.,Equity,4.44%
ITC Ltd.,Equity,4.27%
Tata Consultancy Services Ltd.,Equity,4.05%
Axis Bank Ltd.,Equity,3.19%
Kotak Mahindra Bank Ltd.,Equity,2.93%
Bharti Airtel Ltd.,Equity,2.71%
State Bank Of India,Equity,2.57%
Hindustan Unilever Ltd.,Equity,2.48%
Bajaj Finance Ltd.,Equity,2.04%
HCL Technologies Ltd.,Equity,1.62%
Mahindra & Mahindra Ltd.,Equity,1.61%
Asian Paints Ltd.,Equity,1.60%
Titan Company Ltd.,Equity,1.60%
National Thermal Power Corporation Ltd.,Equity,1.54%
Tata Motors Ltd.,Equity,1.43%
Maruti Suzuki India Ltd.,Equity,1.43%
Sun Pharmaceuticals Ind Ltd.,Equity,1.42%
Ultratech Cement Ltd.,Equity,1.26%
Tata Steel Ltd.,Equity,1.18%
Power Grid Corporation Of India Ltd.,Equity,1.13%
Indusind Bank Ltd.,Equity,1.09%
Nestle India Ltd.,Equity,0.99%
Adani Enterprises Ltd.,Equity,0.98%
Bajaj Finserv Ltd.,Equity,0.95%
Hindalco Industries Ltd.,Equity,0.94%
Coal India Ltd.,Equity,0.89%
Adani Ports and Special Economic Zone Ltd.,Equity,0.85%
JSW Steel Ltd.,Equity,0.85%
Oil & Natural Gas Corporation Ltd.,Equity,0.83%
Tech Mahindra Ltd.,Equity,0.83%
Grasim Industries Ltd.,Equity,0.82%
Bajaj Auto Ltd.,Equity,0.80%
Dr Reddys Laboratories Ltd.,Equity,0.74%
HDFC Life Insurance Company Ltd.,Equity,0.72%
Wipro Ltd.,Equity,0.69%
Tata Consumer Products Ltd.,Equity,0.68%
Cipla Ltd.,Equity,0.68%
SBI Life Insurance Company Ltd.,Equity,0.67%
Britannia Industries Ltd.,Equity,0.66%
Ltimindtree Ltd.,Equity,0.60%
Apollo Hospitals Enterprise Ltd.,Equity,0.60%
Eicher Motors Ltd.,Equity,0.59%
Triparty Repo,Others,0.57%
Hero Motocorp Ltd.,Equity,0.56%
Divi Laboratories Ltd.,Equity,0.52%
Bharat Petroleum Corporation Ltd.,Equity,0.45%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.31%
Net Receivables/(Payable),Others,0.12%
