Company Name,Asset Type,Percentage Allocation
7.35 Maharashtra SDL  Jun 14 2032,Debt,18.70%
7.73 Haryana SDL  Mar  1 2032,Debt,17.26%
7.7 Andhra Pradesh SDL Apr  6 2032,Debt,17.25%
7.14 Tamil Nadu SDL Mar  2 2032,Debt,13.37%
7.73 Maharashtra SDL  Mar 29 2032,Debt,10.93%
6.54 GOI Jan 17 2032,Debt,10.01%
7.75 Himachal Pradesh SDL Mar 29 2032,Debt,3.46%
CBLO(CCIL),Others,3.44%
7.7 Haryana SDL  Feb 15 2031,Debt,2.41%
Net Receivables/(Payable),Others,2.39%
7.72 Haryana SDL  Mar 23 2032,Debt,0.76%
7.73 Andhra Pradesh SDL Mar 23 2032,Debt,0.01%
