Company Name,Asset Type,Percentage Allocation
8.72 Tamil Nadu SDL Sep 19 2026,Debt,3.93%
7.37 Karnataka Sdl Nov  9 2026,Debt,3.81%
7.22 Karnataka Sdl Oct 26 2026,Debt,3.69%
7.62 Tamil Nadu SDL Mar 29 2027,Debt,3.60%
7.39 Maharashtra SDL  Nov  9 2026,Debt,3.49%
7.4 Telangana SDL Nov  9 2026,Debt,3.45%
7.59 Karnataka Sdl Mar 29 2027,Debt,3.27%
7.62 Uttar Pradesh SDL Feb 15 2027,Debt,3.12%
7.37 Maharashtra SDL  Sep 14 2026,Debt,2.76%
5.74 GOI Nov 15 2026,Debt,2.41%
7.22 Maharashtra SDL  Oct 26 2026,Debt,2.37%
6.85 Uttar Pradesh SDL Nov 23 2026,Debt,2.35%
7.86 Karnataka Sdl Mar 15 2027,Debt,2.29%
7.96 Maharashtra SDL  Jun 29 2026,Debt,2.17%
7.59 Gujarat SDL Feb 15 2027,Debt,2.16%
7.37 Rajasthan SDL Nov  9 2026,Debt,2.02%
7.49 Gujarat SDL Sep 28 2026,Debt,1.91%
6.58 Gujarat SDL Mar 31 2027,Debt,1.75%
7.4 Madhya Pradesh SDL Nov  9 2026,Debt,1.67%
7.07 Tamil Nadu SDL Dec 14 2026,Debt,1.66%
5.63 GOI Apr 12 2026,Debt,1.62%
GOI,Debt,1.60%
Net Receivables/(Payable),Others,1.56%
7.57 Gujarat SDL Nov  9 2026,Debt,1.55%
7.39 Tamil Nadu SDL Nov  9 2026,Debt,1.55%
7.05 Gujarat SDL Dec 14 2026,Debt,1.54%
GOI,Debt,1.53%
7.74 Tamil Nadu SDL Mar  1 2027,Debt,1.20%
7.23 Tamil Nadu SDL Oct 26 2026,Debt,1.19%
7.24 Uttar Pradesh SDL Oct 26 2026,Debt,1.19%
7.19 Gujarat SDL Jan 25 2027,Debt,1.19%
7.2 Karnataka Sdl Jan 25 2027,Debt,1.19%
7.15 Karnataka Sdl Jan 11 2027,Debt,1.18%
7.24 Gujarat SDL Dec 28 2026,Debt,1.07%
7.16 Madhya Pradesh SDL Sep 28 2026,Debt,1.07%
6.89 Bihar SDL Nov 23 2026,Debt,1.06%
6.54 Maharashtra SDL  Feb  9 2027,Debt,0.93%
GOI,Debt,0.91%
7.99 Uttar Pradesh SDL Jun 29 2026,Debt,0.85%
7.18 Haryana SDL  Sep 28 2026,Debt,0.83%
GOI,Debt,0.81%
7.39 Telangana SDL Sep 14 2026,Debt,0.81%
6.24 Maharashtra SDL  Aug 11 2026,Debt,0.80%
GOI,Debt,0.75%
7.71 Gujarat SDL Mar  1 2027,Debt,0.70%
7.85 Telangana SDL Jul 13 2026,Debt,0.66%
7.76 Madhya Pradesh SDL Mar  1 2027,Debt,0.60%
7.78 Bihar SDL Mar  1 2027,Debt,0.60%
7.64 Haryana SDL  Mar 29 2027,Debt,0.60%
7.6 Madhya Pradesh SDL Feb 15 2027,Debt,0.60%
7.59 Karnataka Sdl Feb 15 2027,Debt,0.60%
7.42 Andhra Pradesh SDL Nov  9 2026,Debt,0.60%
7.41 Gujarat SDL Oct 19 2026,Debt,0.60%
7.38 Kerala SDL  Nov  9 2026,Debt,0.60%
7.17 Uttar Pradesh SDL Jan 11 2027,Debt,0.59%
7.15 Kerala SDL  Oct 13 2026,Debt,0.59%
