Company Name,Asset Type,Percentage Allocation
8.25 Maharashtra SDL  Jun 10 2025,Debt,60.59%
8.24 Tamil Nadu SDL Sep  9 2025,Debt,12.13%
8.2 GOI Sep 24 2025,Debt,8.11%
8.31 Kerala SDL  Aug 26 2025,Debt,7.28%
8.29 Maharashtra SDL  Aug 26 2025,Debt,4.01%
5.22 GOI Jun 15 2025,Debt,3.16%
8.23 Gujarat SDL Sep  9 2025,Debt,1.69%
Net Receivables/(Payable),Others,1.32%
CBLO(CCIL),Others,0.74%
8.31 Telangana SDL Jul 29 2025,Debt,0.61%
8.16 Uttarkhand SDL Sep 23 2025,Debt,0.24%
8.13 Maharashtra SDL  Jan 14 2025,Debt,0.12%
