Company Name,Asset Type,Percentage Allocation
Suzlon Energy Ltd.,Equity,8.36%
Cyient Ltd.,Equity,4.09%
KEI Industries Ltd.,Equity,3.86%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,3.79%
IDFC Ltd.,Equity,3.57%
RBL Bank Ltd.,Equity,3.53%
Central Depository Services (India) Ltd.,Equity,3.44%
Sonata Software Ltd.,Equity,3.05%
Exide Industries Ltd.,Equity,3.04%
Radico Khaitan Ltd.,Equity,2.73%
Glenmark Pharmaceuticals Ltd.,Equity,2.71%
Indian Energy Exchange Ltd.,Equity,2.70%
National Aluminium Company Ltd.,Equity,2.52%
Birlasoft Ltd.,Equity,2.49%
JB Chemicals & Pharmaceuticals Ltd.,Equity,2.46%
PVR INOX Ltd.,Equity,2.45%
City Union Bank Ltd.,Equity,2.27%
Redington (India) Ltd.,Equity,2.23%
Amara Raja Batteries Ltd.,Equity,2.13%
Computer Age Management Services Ltd.,Equity,1.99%
Manappuram Finance Ltd.,Equity,1.98%
Hindustan Copper Ltd.,Equity,1.91%
Global Health Ltd.,Equity,1.80%
Piramal Pharma Ltd.,Equity,1.79%
CESC Ltd.,Equity,1.75%
Indiamart Intermesh Ltd.,Equity,1.73%
Kalyan Jewellers India Ltd.,Equity,1.70%
Finolex Cables Ltd.,Equity,1.70%
PNB Housing Finance Ltd.,Equity,1.68%
Tanla Platforms Ltd.,Equity,1.65%
HFCL Ltd.,Equity,1.58%
Mahanagar Gas Ltd.,Equity,1.43%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,1.41%
Tejas Networks Ltd.,Equity,1.35%
IRB Infrastructure Developers Ltd.,Equity,1.28%
Chambal Fertilisers & Chemicals Ltd.,Equity,1.25%
Raymond Ltd.,Equity,1.22%
CIE Automotive India Ltd.,Equity,1.21%
Route Mobile Ltd.,Equity,0.89%
Welspun India Ltd.,Equity,0.83%
CBLO(CCIL),Others,0.82%
Shree Renuka Sugars Ltd.,Equity,0.79%
IDBI Bank Ltd.,Equity,0.77%
UTI Asset Management Company Ltd.,Equity,0.75%
Bikaji Foods International Ltd.,Equity,0.72%
Indian Overseas Bank,Equity,0.69%
J B M Auto Ltd.,Equity,0.55%
Anupam Rasayan India Ltd.,Equity,0.50%
Uco Bank,Equity,0.50%
Mangalore Refinery & Petrochemicals Ltd.,Equity,0.49%
Campus Activewear Ltd.,Equity,0.47%
Net Receivables/(Payable),Others,-0.60%
