Company Name,Asset Type,Percentage Allocation
7.51 Maharashtra SDL  May 24 2027,Debt,16.42%
7.52 Gujarat SDL May 24 2027,Debt,9.81%
6.58 Gujarat SDL Mar 31 2027,Debt,8.36%
7.52 Tamil Nadu SDL May 24 2027,Debt,7.60%
7.59 Karnataka Sdl Feb 15 2027,Debt,5.89%
7.53 Haryana SDL  May 24 2027,Debt,5.54%
7.71 Gujarat SDL Mar  1 2027,Debt,4.44%
7.86 Karnataka Sdl Mar 15 2027,Debt,3.76%
6.54 Maharashtra SDL  Feb  9 2027,Debt,3.34%
7.52 Uttar Pradesh SDL May 24 2027,Debt,3.09%
7.62 Uttar Pradesh SDL Feb 15 2027,Debt,2.95%
7.92 West Bengal SDL Mar 15 2027,Debt,2.87%
7.59 Karnataka Sdl Mar 29 2027,Debt,2.80%
7.51 Rajasthan SDL May 24 2027,Debt,2.45%
6.72 Kerala SDL  Mar 24 2027,Debt,2.40%
7.78 Bihar SDL Mar  1 2027,Debt,2.22%
7.61 Tamil Nadu SDL Feb 15 2027,Debt,1.97%
7.62 Tamil Nadu SDL Mar 29 2027,Debt,1.72%
Net Receivables/(Payable),Others,1.72%
7.6 Madhya Pradesh SDL Feb 15 2027,Debt,1.47%
7.88 Chhattisgarh SDL Mar 15 2027,Debt,1.24%
7.78 West Bengal SDL Mar  1 2027,Debt,1.23%
7.74 Tamil Nadu SDL Mar  1 2027,Debt,1.23%
7.59 Gujarat SDL Feb 15 2027,Debt,0.98%
7.19 Gujarat SDL Jan 25 2027,Debt,0.97%
7.87 Uttar Pradesh SDL Mar 15 2027,Debt,0.74%
7.64 West Bengal SDL Mar 29 2027,Debt,0.74%
7.85 Rajasthan SDL Mar 15 2027,Debt,0.49%
7.75 Karnataka Sdl Mar  1 2027,Debt,0.49%
7.61 Uttar Pradesh SDL May 11 2027,Debt,0.49%
CBLO(CCIL),Others,0.29%
7.76 Madhya Pradesh SDL Mar  1 2027,Debt,0.25%
7.8 Haryana SDL  Mar  1 2027,Debt,0.02%
