Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,16.65%
BSE Ltd.,Equity,6.51%
Aurobindo Pharma Ltd.,Equity,5.38%
Suzlon Energy Ltd.,Equity,4.81%
Apar Industries Ltd.,Equity,4.59%
Birlasoft Ltd.,Equity,4.59%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,4.31%
REC Ltd.,Equity,3.53%
Power Finance Corporation Ltd.,Equity,3.37%
Prestige Estates Projects Ltd.,Equity,3.37%
KEI Industries Ltd.,Equity,2.83%
Rail Vikas Nigam Ltd.,Equity,2.73%
Indian Railway Finance Corporation Ltd.,Equity,2.52%
Cyient Ltd.,Equity,2.51%
Multi Commodity Exchange of India Ltd.,Equity,2.25%
Bharat Heavy Electricals Ltd.,Equity,2.24%
KPIT Technologies Ltd.,Equity,2.23%
Polycab India Ltd.,Equity,2.21%
NCC Ltd.,Equity,2.10%
PB Fintech Ltd.,Equity,1.96%
Trent Ltd.,Equity,1.94%
One 97 Communications Ltd.,Equity,1.94%
Glenmark Pharmaceuticals Ltd.,Equity,1.78%
The Supreme Industries Ltd.,Equity,1.77%
Zomato Ltd.,Equity,1.76%
TVS Motor Company Ltd.,Equity,1.74%
Varun Beverages Ltd.,Equity,1.68%
L&T Finance Holding Ltd.,Equity,1.61%
Hindustan Aeronautics Ltd.,Equity,1.58%
CG Power & Industrial Solutions Ltd.,Equity,1.33%
Zydus Lifesciences Ltd.,Equity,1.30%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.26%
Punjab National Bank,Equity,1.18%
APL Apollo Tubes Ltd.,Equity,1.11%
Indian Bank,Equity,1.11%
Karnataka Bank Ltd.,Equity,1.06%
ABB India Ltd.,Equity,1.05%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.99%
IDFC Ltd.,Equity,0.98%
Bharat Electronics Ltd.,Equity,0.85%
Escorts Kubota Ltd.,Equity,0.85%
Apollo Tyres Ltd.,Equity,0.82%
Cummins India Ltd.,Equity,0.76%
Siemens Ltd.,Equity,0.71%
The Indian Hotels Company Ltd.,Equity,0.68%
NHPC Ltd.,Equity,0.65%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,0.64%
Union Bank Of India,Equity,0.64%
ITC Ltd.,Equity,0.62%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.57%
Canara Bank,Equity,0.55%
Cash Margin,Debt,0.11%
Current Assets,Others,-16.28%
