Company Name,Asset Type,Percentage Allocation
Suzlon Energy Ltd.,Equity,2.76%
Triparty Repo,Others,2.09%
BSE Ltd.,Equity,2.08%
Cyient Ltd.,Equity,1.36%
KEI Industries Ltd.,Equity,1.26%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,1.26%
RBL Bank Ltd.,Equity,1.20%
IDFC Ltd.,Equity,1.18%
Multi Commodity Exchange of India Ltd.,Equity,1.15%
Central Depository Services (India) Ltd.,Equity,1.13%
Exide Industries Ltd.,Equity,1.03%
Sonata Software Ltd.,Equity,1.02%
Indian Energy Exchange Ltd.,Equity,0.93%
Karur Vysya Bank Ltd.,Equity,0.90%
Radico Khaitan Ltd.,Equity,0.90%
Glenmark Pharmaceuticals Ltd.,Equity,0.89%
Blue Star Ltd.,Equity,0.86%
National Aluminium Company Ltd.,Equity,0.85%
Elgi Equipments Ltd.,Equity,0.85%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.82%
Birlasoft Ltd.,Equity,0.82%
Equitas Small Finance Bank Ltd.,Equity,0.81%
PVR INOX Ltd.,Equity,0.81%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,0.78%
Brigade Enterprises Ltd.,Equity,0.78%
City Union Bank Ltd.,Equity,0.75%
Redington (India) Ltd.,Equity,0.73%
Cholamandalam Financial Holdings Ltd.,Equity,0.73%
Apar Industries Ltd.,Equity,0.71%
Amara Raja Batteries Ltd.,Equity,0.70%
The Great Eastern Shipping Company Ltd.,Equity,0.68%
Krishna Institute of Medical Sciences Ltd.,Equity,0.67%
Computer Age Management Services Ltd.,Equity,0.66%
Indiabulls Housing Finance Ltd.,Equity,0.66%
Manappuram Finance Ltd.,Equity,0.65%
Hindustan Copper Ltd.,Equity,0.64%
Lakshmi Machine Works Ltd.,Equity,0.62%
Gujarat State Petronet Ltd.,Equity,0.61%
Castrol India Ltd.,Equity,0.60%
Global Health Ltd.,Equity,0.60%
Piramal Pharma Ltd.,Equity,0.59%
CESC Ltd.,Equity,0.59%
CreditAccess Grameen Ltd.,Equity,0.59%
Ratnamani Metals & Tubes Ltd.,Equity,0.59%
Narayana Hrudayalaya Ltd.,Equity,0.57%
NCC Ltd.,Equity,0.57%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.57%
Kalyan Jewellers India Ltd.,Equity,0.56%
Affle (India) Ltd.,Equity,0.56%
Finolex Cables Ltd.,Equity,0.56%
PNB Housing Finance Ltd.,Equity,0.56%
Indiamart Intermesh Ltd.,Equity,0.56%
Tanla Platforms Ltd.,Equity,0.54%
Suven Pharmaceuticals Ltd.,Equity,0.53%
Nippon Life India Asset Management Ltd.,Equity,0.52%
HFCL Ltd.,Equity,0.52%
Natco Pharma Ltd.,Equity,0.52%
Intellect Design Arena Ltd.,Equity,0.52%
Kalpataru Projects International Ltd.,Equity,0.51%
Sanofi India Ltd.,Equity,0.51%
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.51%
KEC International Ltd.,Equity,0.50%
Welspun Corporation Ltd.,Equity,0.49%
Kaynes Technology India Pvt. Ltd.,Equity,0.49%
Praj Industries Ltd.,Equity,0.49%
Five-Star Business Finance Ltd.,Equity,0.48%
Zensar Technologies Ltd.,Equity,0.48%
Mahanagar Gas Ltd.,Equity,0.48%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,0.47%
Poly Medicure Ltd.,Equity,0.46%
Canfin Homes Ltd.,Equity,0.46%
Jyothy Labs Ltd.,Equity,0.45%
SJVN Ltd.,Equity,0.45%
Asahi India Glass Ltd.,Equity,0.45%
Century Textiles & Industries Ltd.,Equity,0.45%
Tejas Networks Ltd.,Equity,0.44%
Housing & Urban Development Corporation Ltd. (Hudco),Equity,0.43%
Finolex Industries Ltd.,Equity,0.43%
Happiest Minds Technologies Ltd.,Equity,0.43%
IRB Infrastructure Developers Ltd.,Equity,0.43%
Aptus Value Housing Finance India Ltd.,Equity,0.42%
Olectra Greentech Ltd.,Equity,0.42%
NMDC Steel Ltd,Equity,0.42%
Rainbow Childrens Medicare Ltd.,Equity,0.41%
Raymond Ltd.,Equity,0.41%
Lemon Tree Hotels Ltd.,Equity,0.41%
Chambal Fertilisers & Chemicals Ltd.,Equity,0.40%
Ircon International Ltd.,Equity,0.40%
Amber Enterprises India Ltd.,Equity,0.40%
Tata Investment Corporation Ltd.,Equity,0.40%
NLC India Ltd.,Equity,0.40%
CIE Automotive India Ltd.,Equity,0.40%
First Source Solutions Ltd.,Equity,0.40%
eClerx Services Ltd.,Equity,0.40%
Hitachi Energy India Ltd.,Equity,0.39%
Granules India Ltd.,Equity,0.39%
JK Lakshmi Cement Ltd.,Equity,0.39%
NBCC (India) Ltd.,Equity,0.38%
Westlife Foodworld Ltd.,Equity,0.38%
EIH Ltd.,Equity,0.38%
E.I.D. Parry India Ltd.,Equity,0.38%
BEML Ltd.,Equity,0.37%
Gujarat State Fertilizers & Chemicals Ltd.,Equity,0.37%
GMM Pfaudler Ltd.,Equity,0.37%
Gillette India Ltd.,Equity,0.37%
Ceat Ltd.,Equity,0.36%
Craftsman Automation Ltd.,Equity,0.36%
Sapphire Foods India Ltd.,Equity,0.36%
V-Guard Industries Ltd.,Equity,0.36%
DCM Shriram Ltd.,Equity,0.35%
RHI Magnesita India Ltd.,Equity,0.35%
Balrampur Chini Mills Ltd.,Equity,0.34%
Cochin Shipyard Ltd.,Equity,0.34%
Usha Martin Ltd.,Equity,0.34%
Jindal Saw Ltd.,Equity,0.33%
Capri Global Capital Ltd.,Equity,0.33%
Aster DM Healthcare Ltd.,Equity,0.33%
Tata Teleservices (Maharashtra) Ltd.,Equity,0.33%
Ccl Products (India) Ltd.,Equity,0.33%
Engineers India Ltd.,Equity,0.33%
Sheela Foam Ltd.,Equity,0.33%
Century Plyboards Ltd.,Equity,0.33%
Triveni Turbine Ltd.,Equity,0.32%
Mastek Ltd.,Equity,0.32%
Cera Sanitaryware Ltd.,Equity,0.32%
Deepak Fertilizers & Petrochemicals Corporation Ltd.,Equity,0.32%
Sterling & Wilson Renewable Energy Ltd. (Erstwhile Sterling & Wilson Solar Ltd.),Equity,0.32%
Motilal Oswal Financial Services Ltd.,Equity,0.31%
Data Patterns (India) Ltd.,Equity,0.31%
Aegis Logistics Ltd.,Equity,0.31%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,0.31%
Metropolis Healthcare Ltd.,Equity,0.30%
Gujarat Pipavav Port Ltd.,Equity,0.30%
Route Mobile Ltd.,Equity,0.29%
Chalet Hotels Ltd.,Equity,0.29%
Alembic Pharmaceuticals Ltd.,Equity,0.29%
KFIN Technologies Ltd.,Equity,0.29%
Jubilant Pharmova Ltd.,Equity,0.29%
Birla Corporation Ltd.,Equity,0.29%
MTAR Technologies Ltd.,Equity,0.29%
Eris Lifesciences Ltd.,Equity,0.29%
Mahindra Lifespace Developers Ltd.,Equity,0.28%
PNC Infratech Ltd.,Equity,0.28%
VIP Industries Ltd.,Equity,0.28%
Godawari Power & Ispat Ltd.,Equity,0.28%
Welspun India Ltd.,Equity,0.28%
Vardhman Textiles Ltd.,Equity,0.28%
Procter & Gamble Health Ltd.,Equity,0.28%
J M Financial Ltd.,Equity,0.28%
Restaurant Brands Asia Ltd.,Equity,0.27%
Syrma SGS Technology Ltd.,Equity,0.27%
Nuvoco Vistas Corporation Ltd.,Equity,0.27%
Safari Industries (India) Ltd.,Equity,0.27%
Fine Organic Industries Ltd.,Equity,0.26%
Shree Renuka Sugars Ltd.,Equity,0.26%
IDBI Bank Ltd.,Equity,0.26%
Jubilant Ingrevia Ltd.,Equity,0.26%
Swan Energy Ltd.,Equity,0.26%
Graphite India Ltd.,Equity,0.25%
Teamlease Services Ltd.,Equity,0.25%
BLS International Services Ltd.,Equity,0.25%
Alkyl Amines Chemicals Ltd.,Equity,0.25%
KSB Ltd.,Equity,0.25%
Medplus Health Services Ltd.,Equity,0.25%
UTI Asset Management Company Ltd.,Equity,0.25%
Chemplast Sanmar Ltd.,Equity,0.25%
Sobha Ltd.,Equity,0.25%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,0.25%
KNR Constructions Ltd.,Equity,0.25%
Clean Science & Technology Ltd.,Equity,0.24%
TV18 Broadcast Ltd.,Equity,0.24%
Home First Finance Company India Ltd.,Equity,0.24%
RITES Ltd.,Equity,0.24%
Bikaji Foods International Ltd.,Equity,0.24%
Quess Corp Ltd.,Equity,0.23%
Indian Overseas Bank,Equity,0.23%
Archean Chemical Industries Ltd.,Equity,0.23%
India Cements Ltd.,Equity,0.23%
HEG Ltd.,Equity,0.22%
Latent View Analytics Ltd.,Equity,0.22%
Brightcom Group Ltd.,Equity,0.22%
Prince Pipes & Fittings Ltd.,Equity,0.22%
Suprajit Engineering Ltd.,Equity,0.22%
Vijaya Diagnostic Centre Ltd.,Equity,0.22%
Minda Corporation Ltd.,Equity,0.22%
Infibeam Avenues Ltd.,Equity,0.22%
J K Paper Ltd.,Equity,0.21%
Central Bank Of India,Equity,0.21%
