Company Name,Asset Type,Percentage Allocation
Hindustan Unilever Ltd.,Equity,4.14%
ICICI Bank Ltd.,Equity,4.07%
Nestle India Ltd.,Equity,3.97%
Sun Pharmaceuticals Ind Ltd.,Equity,3.93%
Britannia Industries Ltd.,Equity,3.88%
HDFC Bank Ltd.,Equity,3.75%
Kotak Mahindra Bank Ltd.,Equity,3.70%
ITC Ltd.,Equity,3.64%
Asian Paints Ltd.,Equity,3.62%
Ultratech Cement Ltd.,Equity,3.58%
Tata Consultancy Services Ltd.,Equity,3.48%
Reliance Industries Ltd.,Equity,3.47%
Wipro Ltd.,Equity,3.46%
Dr Reddys Laboratories Ltd.,Equity,3.44%
Larsen & Toubro Ltd.,Equity,3.32%
Dabur India Ltd.,Equity,3.16%
National Thermal Power Corporation Ltd.,Equity,3.13%
Bajaj Auto Ltd.,Equity,3.10%
Marico Ltd.,Equity,3.06%
HCL Technologies Ltd.,Equity,3.06%
Torrent Pharmaceuticals Ltd.,Equity,3.02%
Pidilite Industries Ltd.,Equity,3.01%
Colgate-Palmolive Ltd.,Equity,3.00%
Bosch Ltd.,Equity,2.99%
Power Grid Corporation Of India Ltd.,Equity,2.96%
SBI Life Insurance Company Ltd.,Equity,2.91%
Berger Paints India Ltd.,Equity,2.86%
Indian Oil Corporation Ltd.,Equity,2.79%
Hero Motocorp Ltd.,Equity,2.75%
Cipla Ltd.,Equity,2.71%
Triparty Repo,Others,0.96%
Cash Margin,Debt,0.01%
Current Assets,Others,-0.91%
