Company Name,Asset Type,Percentage Allocation
Tata Elxsi Ltd.,Equity,3.91%
Power Finance Corporation Ltd.,Equity,3.77%
Page Industries Ltd.,Equity,3.51%
Persistent Systems Ltd.,Equity,3.50%
HDFC Asset Management Company Ltd.,Equity,3.38%
Tube Investments Of India Ltd.,Equity,3.13%
Coforge Ltd.,Equity,2.70%
Polycab India Ltd.,Equity,2.62%
The Supreme Industries Ltd.,Equity,2.57%
NMDC Ltd.,Equity,2.51%
Mphasis Ltd.,Equity,2.50%
Au Small Finance Bank Ltd.,Equity,2.49%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,2.33%
Solar Industries India Ltd.,Equity,2.32%
Abbott India Ltd.,Equity,2.31%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,2.31%
Petronet Lng Ltd.,Equity,2.19%
L&T Technology Services Ltd.,Equity,2.14%
Emami Ltd.,Equity,2.13%
Grindwell Norton Ltd.,Equity,1.98%
Indraprastha Gas Ltd.,Equity,1.98%
Voltas Ltd.,Equity,1.92%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.91%
SKF India Ltd.,Equity,1.88%
Oracle Financial Services Software Ltd.,Equity,1.88%
APL Apollo Tubes Ltd.,Equity,1.82%
ICICI Securities Ltd.,Equity,1.80%
Balkrishna Industries Ltd.,Equity,1.78%
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,1.77%
3M India Ltd.,Equity,1.75%
AIA Engineering Ltd.,Equity,1.72%
Hindustan Zinc Ltd.,Equity,1.69%
Schaeffler India Ltd.,Equity,1.69%
CRISIL Ltd.,Equity,1.63%
Kajaria Ceramics Ltd.,Equity,1.58%
Ajanta Pharma Ltd.,Equity,1.57%
Bayer Cropscience Ltd.,Equity,1.54%
Navin Fluorine International Ltd.,Equity,1.48%
Atul Ltd.,Equity,1.47%
Pfizer Ltd.,Equity,1.39%
Dr Lal PathLabs Ltd.,Equity,1.36%
Honeywell Automation India Ltd.,Equity,1.31%
Sumitomo Chemical India Ltd.,Equity,1.28%
Sun T V Network Ltd.,Equity,1.27%
K P R Mill Ltd.,Equity,1.24%
Gujarat Gas Ltd.,Equity,1.09%
Kansai Nerolac Paints Ltd.,Equity,1.08%
Vinati Organics Ltd.,Equity,1.07%
Relaxo Footwears Ltd.,Equity,1.01%
Whirlpool of India Ltd.,Equity,0.80%
Triparty Repo,Others,0.26%
Net Receivables/(Payable),Others,-0.30%
