Company Name,Asset Type,Percentage Allocation
Indian Energy Exchange Ltd.,Equity,4.54%
Castrol India Ltd.,Equity,3.73%
KEI Industries Ltd.,Equity,3.45%
Sonata Software Ltd.,Equity,3.43%
Central Depository Services (India) Ltd.,Equity,3.10%
Triveni Engineering & Industries Ltd.,Equity,2.90%
Fine Organic Industries Ltd.,Equity,2.66%
Gillette India Ltd.,Equity,2.62%
Cyient Ltd.,Equity,2.53%
Sanofi India Ltd.,Equity,2.51%
Gujarat State Petronet Ltd.,Equity,2.44%
Amara Raja Batteries Ltd.,Equity,2.34%
Birlasoft Ltd.,Equity,2.26%
Ratnamani Metals & Tubes Ltd.,Equity,2.26%
JB Chemicals & Pharmaceuticals Ltd.,Equity,2.24%
Praj Industries Ltd.,Equity,2.22%
eClerx Services Ltd.,Equity,2.21%
Affle (India) Ltd.,Equity,2.15%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,2.13%
Mahanagar Gas Ltd.,Equity,2.11%
Indiamart Intermesh Ltd.,Equity,2.07%
Triparty Repo,Others,2.02%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,2.01%
National Aluminium Company Ltd.,Equity,1.98%
Nippon Life India Asset Management Ltd.,Equity,1.95%
Redington (India) Ltd.,Equity,1.91%
Triveni Turbine Ltd.,Equity,1.91%
BLS International Services Ltd.,Equity,1.89%
Finolex Cables Ltd.,Equity,1.82%
Gujarat State Fertilizers & Chemicals Ltd.,Equity,1.74%
Canfin Homes Ltd.,Equity,1.70%
Engineers India Ltd.,Equity,1.66%
Cera Sanitaryware Ltd.,Equity,1.63%
Zensar Technologies Ltd.,Equity,1.59%
Balaji Amines Ltd.,Equity,1.54%
Godawari Power & Ispat Ltd.,Equity,1.54%
RITES Ltd.,Equity,1.52%
Mastek Ltd.,Equity,1.44%
Gujarat Pipavav Port Ltd.,Equity,1.43%
KSB Ltd.,Equity,1.41%
J K Paper Ltd.,Equity,1.35%
Godfrey Phillips India Ltd.,Equity,1.24%
Jamna Auto Industries Ltd.,Equity,1.23%
Motilal Oswal Financial Services Ltd.,Equity,1.21%
Metropolis Healthcare Ltd.,Equity,1.20%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,1.19%
Krbl Ltd.,Equity,1.17%
Saregama India Ltd.,Equity,1.15%
Gujarat Ambuja Exports Ltd.,Equity,1.05%
Avanti Feeds Ltd.,Equity,0.92%
Lux Industries Ltd.,Equity,0.52%
Net Receivables/(Payable),Others,-0.84%
