Company Name,Asset Type,Percentage Allocation
Sun Pharmaceuticals Ind Ltd.,Equity,13.14%
Cipla Ltd.,Equity,7.11%
Dr Reddys Laboratories Ltd.,Equity,6.83%
Apollo Hospitals Enterprise Ltd.,Equity,6.24%
Max Healthcare Institute Ltd.,Equity,5.80%
Divi Laboratories Ltd.,Equity,5.07%
ELI Lilly Ord Shs,Equity,4.25%
Johnson & Johnson USA,Equity,3.39%
Aurobindo Pharma Ltd.,Equity,3.11%
Lupin Ltd.,Equity,2.95%
Torrent Pharmaceuticals Ltd.,Equity,2.54%
Merck & Company STK,Equity,2.48%
AbbVie Inc.,Equity,2.46%
Fortis Healthcare Ltd.,Equity,2.06%
Novartis AG,Equity,1.86%
Thermo Fisher Scientific Inc.,Equity,1.84%
Abbott India Ltd.,Equity,1.71%
IPCA Laboratories Ltd.,Equity,1.69%
Laurus Labs Ltd.,Equity,1.64%
Danaher Corp,Equity,1.46%
Pfizer Inc.,Equity,1.46%
Amgen Inc,Equity,1.38%
Syngene International Ltd.,Equity,1.38%
Glenmark Pharmaceuticals Ltd.,Equity,1.31%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.23%
Gland Pharma Ltd.,Equity,1.21%
Biocon Ltd.,Equity,1.14%
Intuitive Surgical Inc,Equity,1.07%
Dr Lal PathLabs Ltd.,Equity,1.05%
Ajanta Pharma Ltd.,Equity,1.00%
Medtronic Plc.,Equity,0.98%
Vertex Pharmaceuticals Inc,Equity,0.95%
Narayana Hrudayalaya Ltd.,Equity,0.93%
Stryker Corp,Equity,0.92%
Gilead Sciences Inc Com,Equity,0.91%
CBLO(CCIL),Others,0.90%
Global Health Ltd.,Equity,0.85%
Sanofi India Ltd.,Equity,0.71%
Suven Pharmaceuticals Ltd.,Equity,0.70%
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,0.70%
Becton Dickinson & Company,Equity,0.63%
Pfizer Ltd.,Equity,0.53%
IQVIA Holdings Inc.,Equity,0.38%
Agilent Technologies Inc.,Equity,0.37%
Moderna Inc.,Equity,0.29%
Illumina Inc,Equity,0.20%
Accrued Interest,Others,0.00%
Net Receivables/(Payable),Others,-0.83%
