Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.62%
Reliance Industries Ltd.,Equity,3.83%
ICICI Bank Ltd.,Equity,3.06%
Infosys Ltd.,Equity,2.41%
Larsen & Toubro Ltd.,Equity,1.82%
ITC Ltd.,Equity,1.79%
Tata Consultancy Services Ltd.,Equity,1.68%
Axis Bank Ltd.,Equity,1.34%
Kotak Mahindra Bank Ltd.,Equity,1.23%
Bharti Airtel Ltd.,Equity,1.14%
State Bank Of India,Equity,1.08%
Power Finance Corporation Ltd.,Equity,1.07%
Hindustan Unilever Ltd.,Equity,1.04%
REC Ltd.,Equity,0.98%
Max Healthcare Institute Ltd.,Equity,0.97%
Adani Power Ltd.,Equity,0.97%
Bajaj Finance Ltd.,Equity,0.89%
The Indian Hotels Company Ltd.,Equity,0.74%
Coforge Ltd.,Equity,0.73%
Persistent Systems Ltd.,Equity,0.73%
Au Small Finance Bank Ltd.,Equity,0.73%
Yes Bank Ltd.,Equity,0.72%
Tube Investments Of India Ltd.,Equity,0.71%
HCL Technologies Ltd.,Equity,0.68%
Mahindra & Mahindra Ltd.,Equity,0.68%
Asian Paints Ltd.,Equity,0.67%
Titan Company Ltd.,Equity,0.67%
The Federal Bank Ltd.,Equity,0.67%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.65%
National Thermal Power Corporation Ltd.,Equity,0.65%
HDFC Asset Management Company Ltd.,Equity,0.62%
Lupin Ltd.,Equity,0.61%
Bharat Forge Ltd.,Equity,0.61%
Tata Motors Ltd.,Equity,0.60%
Maruti Suzuki India Ltd.,Equity,0.60%
Sun Pharmaceuticals Ind Ltd.,Equity,0.60%
Tata Elxsi Ltd.,Equity,0.59%
Aurobindo Pharma Ltd.,Equity,0.58%
The Supreme Industries Ltd.,Equity,0.56%
CG Power & Industrial Solutions Ltd.,Equity,0.56%
Ultratech Cement Ltd.,Equity,0.53%
APL Apollo Tubes Ltd.,Equity,0.52%
Cummins India Ltd.,Equity,0.51%
Sona Blw Precision Forgings Ltd.,Equity,0.51%
MRF Ltd.,Equity,0.50%
Alkem Laboratories Ltd.,Equity,0.50%
Ashok Leyland Ltd.,Equity,0.50%
Tata Steel Ltd.,Equity,0.50%
Polycab India Ltd.,Equity,0.49%
Hindustan Petroleum Corporation Ltd.,Equity,0.49%
Zee Entertainment Enterprises Ltd.,Equity,0.49%
Bharat Heavy Electricals Ltd.,Equity,0.48%
Macrotech Developers Ltd.,Equity,0.47%
Power Grid Corporation Of India Ltd.,Equity,0.47%
CBLO(CCIL),Others,0.47%
KPIT Technologies Ltd.,Equity,0.47%
Dixon Technologies (India) Ltd.,Equity,0.47%
Indusind Bank Ltd.,Equity,0.46%
NMDC Ltd.,Equity,0.46%
Fsn ECommerce Ventures Ltd.,Equity,0.46%
Sundaram Finance Ltd.,Equity,0.46%
Page Industries Ltd.,Equity,0.45%
Container Corporation Of India Ltd.,Equity,0.45%
Max Financial Services Ltd.,Equity,0.45%
Godrej Properties Ltd.,Equity,0.44%
Mphasis Ltd.,Equity,0.44%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.43%
Voltas Ltd.,Equity,0.43%
Fortis Healthcare Ltd.,Equity,0.42%
Nestle India Ltd.,Equity,0.42%
Jubilant Foodworks Ltd.,Equity,0.41%
PB Fintech Ltd.,Equity,0.41%
Bajaj Finserv Ltd.,Equity,0.40%
The Phoenix Mills Ltd.,Equity,0.40%
Tata Communications Ltd.,Equity,0.40%
Hindalco Industries Ltd.,Equity,0.39%
Balkrishna Industries Ltd.,Equity,0.39%
Union Bank Of India,Equity,0.39%
GMR Airports Infrastructure Ltd.,Equity,0.38%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.38%
Jindal Stainless Ltd.,Equity,0.38%
Coal India Ltd.,Equity,0.38%
JSW Steel Ltd.,Equity,0.37%
Bandhan Bank Ltd.,Equity,0.35%
Oil & Natural Gas Corporation Ltd.,Equity,0.35%
Indian Railway Finance Corporation Ltd.,Equity,0.35%
Tech Mahindra Ltd.,Equity,0.35%
Grasim Industries Ltd.,Equity,0.34%
Dalmia Bharat Ltd.,Equity,0.34%
Steel Authority Of India Ltd.,Equity,0.34%
ACC Ltd.,Equity,0.34%
Bajaj Auto Ltd.,Equity,0.34%
NHPC Ltd.,Equity,0.34%
JSW Energy Ltd.,Equity,0.34%
Adani Ports and Special Economic Zone Ltd.,Equity,0.33%
Tata Chemicals Ltd.,Equity,0.33%
Adani Enterprises Ltd.,Equity,0.33%
Laurus Labs Ltd.,Equity,0.32%
Deepak Nitrite Ltd.,Equity,0.32%
Oberoi Realty Ltd.,Equity,0.32%
Petronet Lng Ltd.,Equity,0.32%
One 97 Communications Ltd.,Equity,0.32%
Prestige Estates Projects Ltd.,Equity,0.32%
Solar Industries India Ltd.,Equity,0.32%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.31%
LIC Housing Finance Ltd.,Equity,0.31%
Dr Reddys Laboratories Ltd.,Equity,0.31%
J. K. Cement Ltd.,Equity,0.30%
Torrent Power Ltd.,Equity,0.30%
HDFC Life Insurance Company Ltd.,Equity,0.30%
Trent Ltd.,Equity,0.29%
Wipro Ltd.,Equity,0.29%
Bharat Electronics Ltd.,Equity,0.29%
Zomato Ltd.,Equity,0.29%
Apollo Tyres Ltd.,Equity,0.29%
Tata Consumer Products Ltd.,Equity,0.29%
IPCA Laboratories Ltd.,Equity,0.29%
Cipla Ltd.,Equity,0.29%
Patanjali Foods Ltd.,Equity,0.28%
Indian Bank,Equity,0.28%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.28%
SBI Life Insurance Company Ltd.,Equity,0.28%
Indraprastha Gas Ltd.,Equity,0.28%
Gujarat Fluorochemicals Ltd.,Equity,0.28%
AIA Engineering Ltd.,Equity,0.28%
L&T Technology Services Ltd.,Equity,0.28%
Britannia Industries Ltd.,Equity,0.28%
Delhivery Ltd.,Equity,0.27%
Avenue Supermarts Ltd.,Equity,0.27%
Bank Of India,Equity,0.27%
Varun Beverages Ltd.,Equity,0.26%
L&T Finance Holding Ltd.,Equity,0.26%
Sundram Fasteners Ltd.,Equity,0.26%
Navin Fluorine International Ltd.,Equity,0.26%
Oil India Ltd.,Equity,0.26%
Gland Pharma Ltd.,Equity,0.26%
Adani Green Energy Ltd.,Equity,0.25%
United Breweries Ltd.,Equity,0.25%
Ltimindtree Ltd.,Equity,0.25%
Apollo Hospitals Enterprise Ltd.,Equity,0.25%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.25%
The Ramco Cements Ltd.,Equity,0.25%
Schaeffler India Ltd.,Equity,0.25%
Aarti Industries Ltd.,Equity,0.25%
Eicher Motors Ltd.,Equity,0.25%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,0.25%
Tata Power Company Ltd.,Equity,0.25%
Syngene International Ltd.,Equity,0.24%
Vodafone Idea Ltd.,Equity,0.24%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,0.24%
Carborundum Universal Ltd.,Equity,0.24%
Hero Motocorp Ltd.,Equity,0.24%
UNO Minda Ltd.,Equity,0.23%
Abbott India Ltd.,Equity,0.23%
Linde India Ltd.,Equity,0.23%
Hindustan Aeronautics Ltd.,Equity,0.23%
Thermax Ltd.,Equity,0.23%
Aditya Birla Capital Ltd.,Equity,0.22%
Atul Ltd.,Equity,0.22%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.22%
Divi Laboratories Ltd.,Equity,0.22%
Biocon Ltd.,Equity,0.21%
Piramal Enterprises Ltd.,Equity,0.21%
Emami Ltd.,Equity,0.21%
