Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.05%
Reliance Industries Ltd.,Equity,5.49%
ICICI Bank Ltd.,Equity,4.41%
Infosys Ltd.,Equity,3.52%
Larsen & Toubro Ltd.,Equity,2.71%
ITC Ltd.,Equity,2.54%
Tata Consultancy Services Ltd.,Equity,2.45%
Axis Bank Ltd.,Equity,1.94%
Kotak Mahindra Bank Ltd.,Equity,1.77%
Bharti Airtel Ltd.,Equity,1.62%
State Bank Of India,Equity,1.57%
Hindustan Unilever Ltd.,Equity,1.47%
Bajaj Finance Ltd.,Equity,1.22%
HCL Technologies Ltd.,Equity,0.98%
Titan Company Ltd.,Equity,0.97%
Asian Paints Ltd.,Equity,0.97%
Mahindra & Mahindra Ltd.,Equity,0.94%
National Thermal Power Corporation Ltd.,Equity,0.91%
Net Receivables/(Payable),Others,0.91%
Maruti Suzuki India Ltd.,Equity,0.86%
Sun Pharmaceuticals Ind Ltd.,Equity,0.85%
Tata Motors Ltd.,Equity,0.81%
Ultratech Cement Ltd.,Equity,0.77%
Tata Steel Ltd.,Equity,0.70%
Power Grid Corporation Of India Ltd.,Equity,0.67%
Indusind Bank Ltd.,Equity,0.66%
Adani Enterprises Ltd.,Equity,0.59%
Nestle India Ltd.,Equity,0.58%
Bajaj Finserv Ltd.,Equity,0.57%
Hindalco Industries Ltd.,Equity,0.56%
Coal India Ltd.,Equity,0.52%
Adani Ports and Special Economic Zone Ltd.,Equity,0.51%
JSW Steel Ltd.,Equity,0.51%
Oil & Natural Gas Corporation Ltd.,Equity,0.50%
Tech Mahindra Ltd.,Equity,0.50%
Grasim Industries Ltd.,Equity,0.50%
Bajaj Auto Ltd.,Equity,0.48%
Dr Reddys Laboratories Ltd.,Equity,0.44%
HDFC Life Insurance Company Ltd.,Equity,0.44%
Trent Ltd.,Equity,0.42%
Wipro Ltd.,Equity,0.42%
Cipla Ltd.,Equity,0.41%
Bharat Electronics Ltd.,Equity,0.41%
SBI Life Insurance Company Ltd.,Equity,0.41%
Tata Consumer Products Ltd.,Equity,0.39%
Britannia Industries Ltd.,Equity,0.39%
Avenue Supermarts Ltd.,Equity,0.38%
Adani Green Energy Ltd.,Equity,0.37%
Varun Beverages Ltd.,Equity,0.36%
Ltimindtree Ltd.,Equity,0.36%
Apollo Hospitals Enterprise Ltd.,Equity,0.36%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.36%
Zomato Ltd.,Equity,0.36%
Eicher Motors Ltd.,Equity,0.36%
Power Finance Corporation Ltd.,Equity,0.35%
Hindustan Aeronautics Ltd.,Equity,0.33%
Hero Motocorp Ltd.,Equity,0.33%
REC Ltd.,Equity,0.32%
Max Healthcare Institute Ltd.,Equity,0.32%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.31%
Divi Laboratories Ltd.,Equity,0.31%
TVS Motor Company Ltd.,Equity,0.30%
Indian Oil Corporation Ltd.,Equity,0.29%
Tata Power Company Ltd.,Equity,0.29%
DLF Ltd.,Equity,0.28%
Bank Of Baroda,Equity,0.27%
Bharat Petroleum Corporation Ltd.,Equity,0.27%
Godrej Consumer Products Ltd.,Equity,0.26%
Pidilite Industries Ltd.,Equity,0.26%
GAIL (India) Ltd.,Equity,0.26%
Adani Power Ltd.,Equity,0.26%
Info Edge (India) Ltd.,Equity,0.25%
The Indian Hotels Company Ltd.,Equity,0.24%
Tube Investments Of India Ltd.,Equity,0.24%
Coforge Ltd.,Equity,0.24%
Ambuja Cements Ltd.,Equity,0.24%
Shree Cement Ltd.,Equity,0.24%
Au Small Finance Bank Ltd.,Equity,0.24%
Persistent Systems Ltd.,Equity,0.24%
Yes Bank Ltd.,Equity,0.24%
Suzlon Energy Ltd.,Equity,0.23%
The Federal Bank Ltd.,Equity,0.23%
ICICI Lombard General Insurance Company Ltd.,Equity,0.23%
Interglobe Aviation Ltd.,Equity,0.23%
Siemens Ltd.,Equity,0.22%
SRF Ltd.,Equity,0.22%
Adani Transmission Ltd.,Equity,0.22%
Havells India Ltd.,Equity,0.21%
Bajaj Holdings & Investment Ltd.,Equity,0.21%
