Company Name,Asset Type,Percentage Allocation
Punjab National Bank,Equity,1.06%
Tata Consumer Products Ltd.,Equity,1.06%
Life Insurance Corporation of India,Equity,1.05%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.04%
Hindalco Industries Ltd.,Equity,1.04%
GAIL (India) Ltd.,Equity,1.03%
Bajaj Auto Ltd.,Equity,1.03%
Dabur India Ltd.,Equity,1.03%
Ultratech Cement Ltd.,Equity,1.03%
Mahindra & Mahindra Ltd.,Equity,1.02%
Nestle India Ltd.,Equity,1.02%
United Spirits Ltd.,Equity,1.02%
Marico Ltd.,Equity,1.02%
Godrej Consumer Products Ltd.,Equity,1.02%
JSW Steel Ltd.,Equity,1.01%
Tata Steel Ltd.,Equity,1.01%
Bharti Airtel Ltd.,Equity,1.01%
Grasim Industries Ltd.,Equity,1.01%
Vedanta Ltd.,Equity,1.01%
Ambuja Cements Ltd.,Equity,1.01%
Hindustan Unilever Ltd.,Equity,1.01%
Colgate-Palmolive Ltd.,Equity,1.01%
Dr Reddys Laboratories Ltd.,Equity,1.01%
Berger Paints India Ltd.,Equity,1.01%
Trent Ltd.,Equity,1.01%
Canara Bank,Equity,1.01%
Coal India Ltd.,Equity,1.01%
SBI Life Insurance Company Ltd.,Equity,1.01%
Bank Of Baroda,Equity,1.01%
Eicher Motors Ltd.,Equity,1.01%
Jindal Steel & Power Ltd.,Equity,1.01%
Bajaj Finserv Ltd.,Equity,1.01%
Bajaj Finance Ltd.,Equity,1.00%
ICICI Prudential Life Insurance Company Ltd.,Equity,1.00%
Tata Power Company Ltd.,Equity,1.00%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.00%
Britannia Industries Ltd.,Equity,1.00%
Zydus Lifesciences Ltd.,Equity,1.00%
PI Industries Ltd.,Equity,1.00%
Indusind Bank Ltd.,Equity,1.00%
Hero Motocorp Ltd.,Equity,1.00%
Pidilite Industries Ltd.,Equity,1.00%
Muthoot Finance Ltd.,Equity,1.00%
Power Grid Corporation Of India Ltd.,Equity,1.00%
DLF Ltd.,Equity,1.00%
HDFC Bank Ltd.,Equity,1.00%
Interglobe Aviation Ltd.,Equity,1.00%
TVS Motor Company Ltd.,Equity,1.00%
Avenue Supermarts Ltd.,Equity,1.00%
Indian Oil Corporation Ltd.,Equity,1.00%
HDFC Life Insurance Company Ltd.,Equity,1.00%
Bosch Ltd.,Equity,0.99%
Bharat Electronics Ltd.,Equity,0.99%
ITC Ltd.,Equity,0.99%
Apollo Hospitals Enterprise Ltd.,Equity,0.99%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.99%
Info Edge (India) Ltd.,Equity,0.99%
Kotak Mahindra Bank Ltd.,Equity,0.99%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,0.99%
Torrent Pharmaceuticals Ltd.,Equity,0.99%
Divi Laboratories Ltd.,Equity,0.99%
Larsen & Toubro Ltd.,Equity,0.99%
Sun Pharmaceuticals Ind Ltd.,Equity,0.99%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.99%
Axis Bank Ltd.,Equity,0.99%
State Bank Of India,Equity,0.99%
Ltimindtree Ltd.,Equity,0.99%
HCL Technologies Ltd.,Equity,0.99%
Asian Paints Ltd.,Equity,0.99%
National Thermal Power Corporation Ltd.,Equity,0.99%
Titan Company Ltd.,Equity,0.99%
Siemens Ltd.,Equity,0.99%
Havells India Ltd.,Equity,0.99%
Adani Transmission Ltd.,Equity,0.99%
ICICI Lombard General Insurance Company Ltd.,Equity,0.98%
Reliance Industries Ltd.,Equity,0.98%
Wipro Ltd.,Equity,0.98%
Maruti Suzuki India Ltd.,Equity,0.98%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.98%
ICICI Bank Ltd.,Equity,0.98%
Shree Cement Ltd.,Equity,0.98%
Cipla Ltd.,Equity,0.98%
Infosys Ltd.,Equity,0.98%
Tata Consultancy Services Ltd.,Equity,0.98%
Bharat Petroleum Corporation Ltd.,Equity,0.98%
Adani Green Energy Ltd.,Equity,0.98%
Adani Ports and Special Economic Zone Ltd.,Equity,0.98%
SRF Ltd.,Equity,0.98%
Adani Enterprises Ltd.,Equity,0.98%
Hindustan Aeronautics Ltd.,Equity,0.98%
Adani Total Gas Ltd. (Erstwhile Adani Gas Ltd.),Equity,0.97%
Tech Mahindra Ltd.,Equity,0.97%
Zomato Ltd.,Equity,0.97%
Varun Beverages Ltd.,Equity,0.97%
Oil & Natural Gas Corporation Ltd.,Equity,0.97%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.97%
ABB India Ltd.,Equity,0.96%
Adani Wilmar Ltd.,Equity,0.96%
Bajaj Holdings & Investment Ltd.,Equity,0.95%
Tata Motors Ltd.,Equity,0.90%
Triparty Repo,Others,0.67%
Tata Motors - DVR - A - ORDY,Equity,0.16%
Current Assets,Others,-0.53%
