Company Name,Asset Type,Percentage Allocation
7.37 Maharashtra SDL  Sep 14 2026,Debt,22.49%
8.08 Maharashtra SDL  Jun 15 2026,Debt,9.36%
7.58 Maharashtra SDL  Aug 24 2026,Debt,8.17%
6.24 Maharashtra SDL  Aug 11 2026,Debt,7.91%
7.83 Gujarat SDL Jul 13 2026,Debt,5.47%
7.37 Tamil Nadu SDL Sep 14 2026,Debt,5.42%
5.7 Karnataka Sdl Jul 15 2026,Debt,5.21%
8.01 Tamil Nadu SDL May 11 2026,Debt,5.17%
8.72 Tamil Nadu SDL Sep 19 2026,Debt,3.00%
7.84 Tamil Nadu SDL Jul 13 2026,Debt,2.74%
7.14 Karnataka Sdl Oct 13 2026,Debt,2.69%
7.16 Uttar Pradesh SDL Oct 13 2026,Debt,2.69%
6.27 Rajasthan SDL Jul 20 2026,Debt,2.51%
7.16 Maharashtra SDL  Sep 28 2026,Debt,2.48%
Current Assets,Others,2.23%
7.84 Maharashtra SDL  Jul 13 2026,Debt,1.92%
Triparty Repo,Others,1.52%
7.61 Kerala SDL  Aug  9 2026,Debt,1.47%
8.1 West Bengal SDL Mar 23 2026,Debt,1.44%
8.07 Kerala SDL  Jun 15 2026,Debt,0.83%
7.98 Kerala SDL  May 11 2026,Debt,0.82%
8.42 Kerala SDL  Jan 27 2026,Debt,0.57%
7.98 Gujarat SDL May 11 2026,Debt,0.55%
7.18 Haryana SDL  Sep 28 2026,Debt,0.54%
8.69 Kerala SDL  Feb 24 2026,Debt,0.44%
8.08 Kerala SDL  Mar 23 2026,Debt,0.41%
8.48 Rajasthan SDL Feb 10 2026,Debt,0.39%
7.98 Goa SDL Jun 29 2026,Debt,0.32%
8.28 Karnataka Sdl Mar  6 2026,Debt,0.28%
8.09 West Bengal SDL Jun 15 2026,Debt,0.24%
7.69 Gujarat SDL Jul 27 2026,Debt,0.22%
8.49 Kerala SDL  Feb 10 2026,Debt,0.17%
6.18 Gujarat SDL Mar 31 2026,Debt,0.13%
8.57 Andhra Pradesh SDL Mar  9 2026,Debt,0.10%
8.88 West Bengal SDL Feb 24 2026,Debt,0.06%
8.07 Rajasthan SDL Jun 15 2026,Debt,0.03%
