Company Name,Asset Type,Percentage Allocation
Tata Motors Ltd.,Equity,5.27%
Bajaj Auto Ltd.,Equity,5.11%
Dr Reddys Laboratories Ltd.,Equity,5.01%
Trent Ltd.,Equity,5.00%
Coal India Ltd.,Equity,4.99%
TVS Motor Company Ltd.,Equity,4.93%
Larsen & Toubro Ltd.,Equity,4.91%
National Thermal Power Corporation Ltd.,Equity,4.89%
Hindustan Aeronautics Ltd.,Equity,4.83%
REC Ltd.,Equity,4.79%
Power Finance Corporation Ltd.,Equity,4.74%
Aurobindo Pharma Ltd.,Equity,4.23%
Hero Motocorp Ltd.,Equity,4.02%
Bharat Electronics Ltd.,Equity,3.99%
Lupin Ltd.,Equity,3.70%
DLF Ltd.,Equity,3.43%
Colgate-Palmolive Ltd.,Equity,3.07%
Polycab India Ltd.,Equity,3.05%
Bharat Heavy Electricals Ltd.,Equity,2.93%
Alkem Laboratories Ltd.,Equity,2.48%
NMDC Ltd.,Equity,2.41%
Bharat Forge Ltd.,Equity,2.37%
Punjab National Bank,Equity,1.94%
Oberoi Realty Ltd.,Equity,1.50%
Zydus Lifesciences Ltd.,Equity,1.50%
Triparty Repo,Others,1.42%
IPCA Laboratories Ltd.,Equity,1.37%
L&T Finance Holding Ltd.,Equity,1.10%
Escorts Kubota Ltd.,Equity,0.73%
The Ramco Cements Ltd.,Equity,0.73%
Sun T V Network Ltd.,Equity,0.51%
Current Assets,Others,-0.95%
