Company Name,Asset Type,Percentage Allocation
8.18 Tamil Nadu SDL Dec 19 2028,Debt,20.96%
8.08 Tamil Nadu SDL Dec 26 2028,Debt,18.25%
8.62 Haryana SDL  Sep  3 2028,Debt,10.86%
8.73 Uttar Pradesh SDL Oct 10 2028,Debt,6.07%
8.84 Rajasthan SDL Sep 12 2028,Debt,3.78%
8.36 Tamil Nadu SDL Dec 12 2028,Debt,3.60%
8.63 Rajasthan SDL Sep  3 2028,Debt,3.58%
8.7 Gujarat SDL Sep 19 2028,Debt,3.03%
8.17 Gujarat SDL Dec 19 2028,Debt,2.98%
8.08 Gujarat SDL Dec 26 2028,Debt,2.65%
8.08 Maharashtra SDL  Dec 26 2028,Debt,2.59%
8.52 Karnataka Sdl Nov 28 2028,Debt,2.41%
8.42 Maharashtra SDL  Aug  1 2028,Debt,2.40%
Triparty Repo,Others,1.95%
8.08 Karnataka Sdl Dec 26 2028,Debt,1.81%
8.19 Uttar Pradesh SDL Dec 19 2028,Debt,1.79%
8.32 Gujarat SDL Dec 12 2028,Debt,1.56%
8.53 Tamil Nadu SDL Nov 28 2028,Debt,1.21%
8.09 Rajasthan SDL Dec 26 2028,Debt,1.19%
8.38 Kerala SDL  Dec  5 2028,Debt,1.15%
6.55 Maharashtra SDL  Oct 14 2028,Debt,1.12%
Current Assets,Others,0.89%
8.58 Gujarat SDL Oct 31 2028,Debt,0.60%
8.53 Gujarat SDL Nov 20 2028,Debt,0.60%
8.53 Rajasthan SDL Aug 29 2028,Debt,0.60%
8.47 Gujarat SDL Aug 21 2028,Debt,0.60%
7.5 Andhra Pradesh SDL Nov 30 2028,Debt,0.58%
6.7 Maharashtra SDL  Sep 23 2028,Debt,0.56%
8.6 Gujarat SDL Oct 17 2028,Debt,0.24%
8.76 Rajasthan SDL Sep 26 2028,Debt,0.12%
8.54 Kerala SDL  Nov 28 2028,Debt,0.12%
8.6 Uttar Pradesh SDL Nov 14 2028,Debt,0.06%
8.37 Madhya Pradesh SDL Dec  5 2028,Debt,0.06%
8.5 Gujarat SDL Nov 28 2028,Debt,0.03%
