Company Name,Asset Type,Percentage Allocation
7.18 Tamil Nadu SDL Jul 26 2027,Debt,12.44%
7.2 Maharashtra SDL  Aug  9 2027,Debt,9.62%
7.25 Gujarat SDL Jul 12 2027,Debt,8.01%
6.58 Gujarat SDL Mar 31 2027,Debt,5.11%
7.45 Rajasthan SDL Sep 27 2027,Debt,4.31%
7.46 Madhya Pradesh SDL Sep 27 2027,Debt,4.31%
7.38 Karnataka Sdl Sep 27 2027,Debt,3.45%
6.12 Karnataka Sdl Jul 22 2027,Debt,3.31%
7.29 Uttar Pradesh SDL Jul 12 2027,Debt,2.98%
8.61 Tamil Nadu SDL Sep  3 2027,Debt,2.93%
Current Assets,Others,2.39%
8.31 Rajasthan SDL Apr  8 2027,Debt,2.36%
7.29 Haryana SDL  Aug 23 2027,Debt,2.35%
7.47 Chhattisgarh SDL Sep 27 2027,Debt,2.13%
7.32 Punjab SDL Aug 23 2027,Debt,2.00%
7.25 West Bengal SDL Aug  9 2027,Debt,2.00%
6.23 Rajasthan SDL Sep 29 2027,Debt,1.83%
7.59 Bihar SDL Feb 15 2027,Debt,1.73%
7.76 Madhya Pradesh SDL Mar  1 2027,Debt,1.45%
7.59 Karnataka Sdl Mar 29 2027,Debt,1.44%
7.28 Madhya Pradesh SDL Aug 23 2027,Debt,1.43%
7.52 Gujarat SDL May 24 2027,Debt,1.31%
7.47 Uttar Pradesh SDL Sep 27 2027,Debt,1.25%
7.17 Gujarat SDL Jul 26 2027,Debt,1.18%
7.51 Rajasthan SDL May 24 2027,Debt,1.15%
7.21 Tamil Nadu SDL Aug  9 2027,Debt,1.14%
7.33 Maharashtra SDL  Sep 13 2027,Debt,1.14%
7.19 Uttar Pradesh SDL Jul 26 2027,Debt,1.08%
7.71 Gujarat SDL Mar  1 2027,Debt,0.93%
7.92 West Bengal SDL Mar 15 2027,Debt,0.87%
7.51 Maharashtra SDL  May 24 2027,Debt,0.86%
6.72 Kerala SDL  Mar 24 2027,Debt,0.85%
7.25 Kerala SDL  Jul 12 2027,Debt,0.80%
Triparty Repo,Others,0.79%
7.41 Haryana SDL  Sep 27 2027,Debt,0.67%
7.27 Tamil Nadu SDL Jul 12 2027,Debt,0.61%
7.85 Rajasthan SDL Mar 15 2027,Debt,0.58%
7.46 Andhra Pradesh SDL May 18 2027,Debt,0.58%
7.37 Uttar Pradesh SDL Sep 13 2027,Debt,0.57%
7.35 Madhya Pradesh SDL Sep 13 2027,Debt,0.57%
7.27 Uttar Pradesh SDL Aug 23 2027,Debt,0.57%
7.23 Rajasthan SDL Jun 14 2027,Debt,0.57%
7.05 Telangana SDL Jul 24 2027,Debt,0.57%
7.03 Telangana SDL Aug 28 2027,Debt,0.47%
7.29 Assam SDL Jun 28 2027,Debt,0.40%
7.34 Punjab SDL Jul 12 2027,Debt,0.40%
7.38 Telangana SDL Sep 25 2027,Debt,0.36%
7.25 Gujarat SDL Aug 23 2027,Debt,0.34%
7.23 Tamil Nadu SDL Jun 14 2027,Debt,0.34%
7.74 Tamil Nadu SDL Mar  1 2027,Debt,0.29%
7.21 Gujarat SDL Aug  9 2027,Debt,0.29%
7.42 Punjab SDL Sep 13 2027,Debt,0.19%
7.53 Haryana SDL  May 24 2027,Debt,0.12%
7.2 Karnataka Sdl Jan 25 2027,Debt,0.11%
7.61 Rajasthan SDL Mar 29 2027,Debt,0.10%
8.49 Andhra Pradesh SDL Aug 21 2027,Debt,0.10%
7.52 Tamil Nadu SDL May 24 2027,Debt,0.10%
7.19 Gujarat SDL Jan 25 2027,Debt,0.09%
7.2 Tamil Nadu SDL Jan 25 2027,Debt,0.06%
