Company Name,Asset Type,Percentage Allocation
7.86 Karnataka Sdl Mar 15 2027,Debt,6.64%
7.59 Karnataka Sdl Feb 15 2027,Debt,6.10%
7.59 Karnataka Sdl Mar 29 2027,Debt,5.39%
7.57 Gujarat SDL Nov  9 2026,Debt,5.16%
7.59 Gujarat SDL Feb 15 2027,Debt,4.58%
7.62 Tamil Nadu SDL Mar 29 2027,Debt,3.76%
7.78 West Bengal SDL Mar  1 2027,Debt,3.68%
7.75 Karnataka Sdl Mar  1 2027,Debt,3.62%
7.62 Uttar Pradesh SDL Feb 15 2027,Debt,3.20%
7.64 Haryana SDL  Mar 29 2027,Debt,3.04%
7.2 Tamil Nadu SDL Jan 25 2027,Debt,2.98%
7.61 Tamil Nadu SDL Feb 15 2027,Debt,2.62%
6.58 Gujarat SDL Mar 31 2027,Debt,2.44%
7.71 Gujarat SDL Mar  1 2027,Debt,2.39%
Current Assets,Others,2.17%
7.61 Rajasthan SDL Mar 29 2027,Debt,2.00%
7.64 West Bengal SDL Mar 29 2027,Debt,1.98%
7.85 Tamil Nadu SDL Mar 15 2027,Debt,1.89%
7.76 Madhya Pradesh SDL Mar  1 2027,Debt,1.89%
7.74 Tamil Nadu SDL Mar  1 2027,Debt,1.71%
7.41 Uttar Pradesh SDL Nov  9 2026,Debt,1.68%
7.87 Uttar Pradesh SDL Mar 15 2027,Debt,1.63%
7.19 Gujarat SDL Jan 25 2027,Debt,1.55%
6.72 Kerala SDL  Mar 24 2027,Debt,1.53%
8.31 Rajasthan SDL Apr  8 2027,Debt,1.34%
7.73 Rajasthan SDL Mar  1 2027,Debt,1.32%
7.6 Madhya Pradesh SDL Feb 15 2027,Debt,1.32%
7.24 Gujarat SDL Dec 28 2026,Debt,1.18%
7.08 Karnataka Sdl Dec 14 2026,Debt,1.17%
7.62 Andhra Pradesh SDL Mar 29 2027,Debt,1.13%
7.59 Haryana SDL  Feb 15 2027,Debt,1.13%
7.16 Tamil Nadu SDL Jan 11 2027,Debt,1.05%
7.85 Rajasthan SDL Mar 15 2027,Debt,1.01%
6.54 Maharashtra SDL  Feb  9 2027,Debt,0.96%
7.2 Karnataka Sdl Jan 25 2027,Debt,0.95%
7.1 Bihar SDL Dec 14 2026,Debt,0.95%
7.38 Kerala SDL  Nov  9 2026,Debt,0.93%
7.07 Tamil Nadu SDL Dec 14 2026,Debt,0.93%
7.15 Kerala SDL  Jan 11 2027,Debt,0.90%
7.89 Haryana SDL  Mar 15 2027,Debt,0.82%
7.14 Andhra Pradesh SDL Jan 11 2027,Debt,0.78%
7.59 Bihar SDL Feb 15 2027,Debt,0.63%
7.28 Haryana SDL  Dec 28 2026,Debt,0.62%
7.63 West Bengal SDL Feb 15 2027,Debt,0.56%
7.64 Uttar Pradesh SDL Mar 29 2027,Debt,0.52%
7.15 Karnataka Sdl Jan 11 2027,Debt,0.44%
7.8 Kerala SDL  Mar 15 2027,Debt,0.44%
7.8 Haryana SDL  Mar  1 2027,Debt,0.44%
7.77 Kerala SDL  Mar  1 2027,Debt,0.44%
7.42 Andhra Pradesh SDL Nov  9 2026,Debt,0.44%
7.4 Madhya Pradesh SDL Nov  9 2026,Debt,0.44%
7.78 Bihar SDL Mar  1 2027,Debt,0.43%
7.92 West Bengal SDL Mar 15 2027,Debt,0.40%
7.12 Bihar SDL Jan 11 2027,Debt,0.37%
7.14 Gujarat SDL Jan 11 2027,Debt,0.33%
6.48 Rajasthan SDL Mar  2 2027,Debt,0.30%
7.16 West Bengal SDL Jan 11 2027,Debt,0.25%
7.15 Rajasthan SDL Jan 11 2027,Debt,0.19%
7.1 West Bengal SDL Dec 14 2026,Debt,0.19%
Triparty Repo,Others,0.15%
7.23 Andhra Pradesh SDL Oct 26 2026,Debt,0.13%
7.85 Bihar SDL Mar 15 2027,Debt,0.13%
6.9 Andhra Pradesh SDL Apr 22 2027,Debt,0.12%
7.64 Kerala SDL  Apr 12 2027,Debt,0.09%
7.59 Rajasthan SDL Feb 15 2027,Debt,0.09%
7.67 Uttar Pradesh SDL Apr 12 2027,Debt,0.06%
7.39 Tamil Nadu SDL Nov  9 2026,Debt,0.06%
7.29 Kerala SDL  Dec 28 2026,Debt,0.06%
7.25 Maharashtra SDL  Dec 28 2026,Debt,0.06%
7.29 Bihar SDL Dec 28 2026,Debt,0.06%
7.2 Uttar Pradesh SDL Jan 25 2027,Debt,0.06%
