Company Name,Asset Type,Percentage Allocation
7.71 Andhra Pradesh SDL Apr  6 2033,Debt,30.32%
7.79 Uttar Pradesh SDL Mar 29 2033,Debt,23.70%
7.72 Bihar SDL Feb 15 2033,Debt,10.08%
7.71 Andhra Pradesh SDL Feb 22 2033,Debt,8.42%
7.73 Bihar SDL Mar 15 2033,Debt,6.74%
7.74 Maharashtra SDL  Mar  1 2033,Debt,3.38%
7.72 Maharashtra SDL  Mar 23 2032,Debt,3.38%
7.73 Uttar Pradesh SDL Mar 15 2033,Debt,3.37%
7.68 Gujarat SDL Mar 15 2033,Debt,3.36%
Current Assets,Others,2.33%
7.71 Gujarat SDL Mar  1 2033,Debt,2.02%
7.78 Rajasthan SDL Mar 29 2033,Debt,1.03%
7.7 Maharashtra SDL  Mar  8 2033,Debt,0.97%
Triparty Repo,Others,0.87%
