Company Name,Asset Type,Percentage Allocation
Suzlon Energy Ltd.,Equity,8.24%
Cyient Ltd.,Equity,4.04%
KEI Industries Ltd.,Equity,3.80%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,3.73%
IDFC Ltd.,Equity,3.52%
RBL Bank Ltd.,Equity,3.48%
Central Depository Services (India) Ltd.,Equity,3.39%
Sonata Software Ltd.,Equity,3.00%
Exide Industries Ltd.,Equity,2.99%
Radico Khaitan Ltd.,Equity,2.69%
Glenmark Pharmaceuticals Ltd.,Equity,2.67%
Indian Energy Exchange Ltd.,Equity,2.66%
National Aluminium Company Ltd.,Equity,2.48%
Birlasoft Ltd.,Equity,2.45%
JB Chemicals & Pharmaceuticals Ltd.,Equity,2.42%
PVR INOX Ltd.,Equity,2.42%
City Union Bank Ltd.,Equity,2.24%
Redington (India) Ltd.,Equity,2.20%
Triparty Repo,Others,2.13%
Amara Raja Batteries Ltd.,Equity,2.10%
Computer Age Management Services Ltd.,Equity,1.96%
Manappuram Finance Ltd.,Equity,1.95%
Hindustan Copper Ltd.,Equity,1.88%
Global Health Ltd.,Equity,1.78%
Piramal Pharma Ltd.,Equity,1.77%
CESC Ltd.,Equity,1.73%
Indiamart Intermesh Ltd.,Equity,1.71%
Kalyan Jewellers India Ltd.,Equity,1.68%
Finolex Cables Ltd.,Equity,1.68%
PNB Housing Finance Ltd.,Equity,1.65%
Tanla Platforms Ltd.,Equity,1.63%
HFCL Ltd.,Equity,1.56%
Mahanagar Gas Ltd.,Equity,1.41%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,1.39%
Tejas Networks Ltd.,Equity,1.33%
IRB Infrastructure Developers Ltd.,Equity,1.26%
Chambal Fertilisers & Chemicals Ltd.,Equity,1.23%
Raymond Ltd.,Equity,1.20%
CIE Automotive India Ltd.,Equity,1.19%
Route Mobile Ltd.,Equity,0.88%
Welspun India Ltd.,Equity,0.82%
Shree Renuka Sugars Ltd.,Equity,0.78%
IDBI Bank Ltd.,Equity,0.76%
UTI Asset Management Company Ltd.,Equity,0.74%
Bikaji Foods International Ltd.,Equity,0.71%
Indian Overseas Bank,Equity,0.68%
J B M Auto Ltd.,Equity,0.54%
Anupam Rasayan India Ltd.,Equity,0.50%
Uco Bank,Equity,0.50%
Mangalore Refinery & Petrochemicals Ltd.,Equity,0.49%
Campus Activewear Ltd.,Equity,0.46%
Current Assets,Others,-0.49%
