Company Name,Asset Type,Percentage Allocation
Ultratech Cement Ltd.,Equity,5.45%
DLF Ltd.,Equity,5.31%
Asian Paints Ltd.,Equity,5.00%
Ambuja Cements Ltd.,Equity,4.97%
Grasim Industries Ltd.,Equity,4.96%
Havells India Ltd.,Equity,4.94%
Shree Cement Ltd.,Equity,4.93%
The Supreme Industries Ltd.,Equity,4.74%
Polycab India Ltd.,Equity,4.57%
Macrotech Developers Ltd.,Equity,4.43%
Godrej Properties Ltd.,Equity,4.11%
Voltas Ltd.,Equity,4.06%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,4.03%
The Phoenix Mills Ltd.,Equity,3.80%
Dixon Technologies (India) Ltd.,Equity,3.78%
Crompton Greaves Consumer Electrcials Ltd.,Equity,3.56%
Dalmia Bharat Ltd.,Equity,3.36%
ACC Ltd.,Equity,3.19%
Berger Paints India Ltd.,Equity,3.15%
Oberoi Realty Ltd.,Equity,3.01%
Prestige Estates Projects Ltd.,Equity,2.95%
LIC Housing Finance Ltd.,Equity,2.90%
The Ramco Cements Ltd.,Equity,2.33%
J. K. Cement Ltd.,Equity,2.30%
Kajaria Ceramics Ltd.,Equity,1.97%
Kansai Nerolac Paints Ltd.,Equity,1.20%
Whirlpool of India Ltd.,Equity,0.78%
Current Assets,Others,0.23%
