Company Name,Asset Type,Percentage Allocation
8.44 Rajasthan SDL Mar  7 2028,Debt,18.76%
6.98 Maharashtra SDL  Feb 26 2028,Debt,17.86%
8.45 Uttar Pradesh SDL Jun 27 2028,Debt,12.54%
8.32 Tamil Nadu SDL May 23 2028,Debt,12.48%
6.99 Telangana SDL Jun 10 2028,Debt,10.70%
8.15 Bihar SDL Mar 27 2028,Debt,6.19%
7.49 Gujarat SDL Mar 29 2028,Debt,6.06%
8.2 Uttarkhand SDL May  9 2028,Debt,4.97%
7.7 Andhra Pradesh SDL Mar  1 2028,Debt,4.01%
Triparty Repo,Others,3.32%
Net Receivables/(Payable),Others,1.62%
8.35 Gujarat SDL Feb 28 2028,Debt,1.12%
8.62 Punjab SDL Jun 13 2028,Debt,0.13%
8.4 Rajasthan SDL Jun 20 2028,Debt,0.13%
8.4 Rajasthan SDL Jun  6 2028,Debt,0.13%
