Company Name,Asset Type,Percentage Allocation
Ram Krishna Forgings Ltd.,Equity,1.33%
Titagarh Railsystems Ltd.,Equity,1.32%
Karnataka Bank Ltd.,Equity,1.32%
Himadri Speciality Chemical Ltd.,Equity,1.31%
Religare Enterprises Ltd.,Equity,1.19%
Jaiprakash Power Ventures Ltd.,Equity,1.19%
Reliance Power Ltd.,Equity,1.17%
Ujjivan Financial Services Ltd.,Equity,1.16%
Tamilnad Mercantile Bank,Equity,1.03%
The South Indian Bank Ltd.,Equity,1.00%
Reliance Infrastructure Ltd.,Equity,0.98%
Kirloskar Oil Engines Ltd.,Equity,0.98%
Inox Wind Ltd.,Equity,0.97%
Astra Microwave Products Ltd.,Equity,0.92%
H B L Power Systems Ltd.,Equity,0.90%
CBLO(CCIL),Others,0.89%
Newgen Software Technologies Ltd.,Equity,0.85%
Ion Exchange (India) Ltd.,Equity,0.83%
The Jammu & Kashmir Bank Ltd.,Equity,0.83%
Anand Rathi Wealth Ltd.,Equity,0.82%
PTC India Ltd.,Equity,0.81%
Ghcl Ltd.,Equity,0.79%
Neuland Laboratories Ltd.,Equity,0.79%
Edelweiss Financial Services Ltd.,Equity,0.78%
Gokaldas Exports Ltd.,Equity,0.78%
Strides Pharma Science Ltd.,Equity,0.78%
CMS Info Systems Ltd.,Equity,0.77%
JK Tyre & Industries Ltd.,Equity,0.76%
Indiabulls Real Estate Ltd.,Equity,0.75%
Voltamp Transformers Ltd.,Equity,0.74%
Elecon Engineering Company Ltd.,Equity,0.73%
Rategain Travel Technologies Ltd.,Equity,0.73%
Arvind Ltd.,Equity,0.72%
Jupiter Wagons Ltd.,Equity,0.71%
Maharashtra Seamless Ltd.,Equity,0.69%
Electrosteel Castings Ltd.,Equity,0.67%
Supreme Petrochem Ltd.,Equity,0.65%
Gateway Distriparks Ltd.,Equity,0.64%
Hindustan Construction Company Ltd.,Equity,0.63%
DCB Bank Ltd.,Equity,0.63%
Astrazeneca Pharma India Ltd.,Equity,0.62%
Gujarat Mineral Development Corporation Ltd.,Equity,0.61%
Greenlam Industries Ltd.,Equity,0.60%
Chennai Petroleum Corporation Ltd.,Equity,0.60%
Marksans Pharma Ltd.,Equity,0.59%
Techno Electric & Engineering Company Ltd.,Equity,0.59%
Action Construction Equipment Ltd.,Equity,0.59%
Nava Ltd.,Equity,0.59%
Mrs Bectors Food Specialities Ltd.,Equity,0.58%
Vesuvius India Ltd.,Equity,0.58%
Va Tech Wabag Ltd.,Equity,0.57%
Rolex Rings Ltd.,Equity,0.56%
Garware Technical Fibres Ltd.,Equity,0.56%
GE T&D India Ltd.,Equity,0.55%
Anant Raj Ltd.,Equity,0.55%
Surya Roshni Ltd.,Equity,0.55%
JaiPrakash Associates Ltd.,Equity,0.54%
Nocil Ltd.,Equity,0.54%
Arvind Fashions Ltd.,Equity,0.53%
Railtel Corporation Of India Ltd.,Equity,0.53%
Pricol Ltd.,Equity,0.51%
LT Foods Ltd.,Equity,0.51%
Sansera Engineering Ltd.,Equity,0.50%
PG Electroplast Ltd.,Equity,0.50%
Orient Cement Ltd.,Equity,0.50%
Paisalo Digital Ltd.,Equity,0.50%
Wockhardt Ltd.,Equity,0.50%
Shipping Corporation of India Ltd.,Equity,0.49%
VRL Logistics Ltd.,Equity,0.49%
Power Mech Projects Ltd.,Equity,0.49%
Caplin Point Laboratories Ltd.,Equity,0.48%
Isgec Heavy Engineering Ltd.,Equity,0.48%
Man Infraconstruction Ltd.,Equity,0.48%
Td Power Systems Ltd.,Equity,0.48%
L G Balakrishnan & Bros Ltd.,Equity,0.47%
ITD Cementation India Ltd.,Equity,0.47%
Garden Reach Shipbuilders & Engineers Ltd.,Equity,0.47%
CARE Ratings Ltd.,Equity,0.47%
