Company Name,Asset Type,Percentage Allocation
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,4.68%
Indian Oil Corporation Ltd.,Equity,4.16%
Bajaj Auto Ltd.,Equity,3.92%
Nestle India Ltd.,Equity,3.89%
Alkem Laboratories Ltd.,Equity,3.83%
Colgate-Palmolive Ltd.,Equity,3.63%
Larsen & Toubro Ltd.,Equity,3.59%
Torrent Pharmaceuticals Ltd.,Equity,3.50%
Ultratech Cement Ltd.,Equity,3.48%
Sun Pharmaceuticals Ind Ltd.,Equity,3.45%
Pidilite Industries Ltd.,Equity,3.43%
Bharti Airtel Ltd.,Equity,3.43%
Bosch Ltd.,Equity,3.39%
Grasim Industries Ltd.,Equity,3.33%
United Breweries Ltd.,Equity,3.29%
ICICI Bank Ltd.,Equity,3.27%
Britannia Industries Ltd.,Equity,3.21%
Kotak Mahindra Bank Ltd.,Equity,3.19%
Hindustan Unilever Ltd.,Equity,3.17%
Tata Consultancy Services Ltd.,Equity,3.13%
Wipro Ltd.,Equity,3.13%
HDFC Bank Ltd.,Equity,3.07%
Bayer Cropscience Ltd.,Equity,3.05%
Dr Reddys Laboratories Ltd.,Equity,3.05%
Asian Paints Ltd.,Equity,3.03%
ITC Ltd.,Equity,2.98%
Maruti Suzuki India Ltd.,Equity,2.96%
Abbott India Ltd.,Equity,2.76%
Oracle Financial Services Software Ltd.,Equity,2.72%
Whirlpool of India Ltd.,Equity,2.33%
Net Receivables/(Payable),Others,-0.06%
