Company Name,Asset Type,Percentage Allocation
Bajaj Finance Ltd.,Equity,14.75%
Bajaj Finserv Ltd.,Equity,9.51%
HDFC Life Insurance Company Ltd.,Equity,7.24%
SBI Life Insurance Company Ltd.,Equity,6.71%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,5.93%
Power Finance Corporation Ltd.,Equity,5.78%
REC Ltd.,Equity,5.31%
Cholamandalam Investment & Finance Company Ltd.,Equity,5.28%
ICICI Lombard General Insurance Company Ltd.,Equity,3.48%
Bajaj Holdings & Investment Ltd.,Equity,3.46%
HDFC Asset Management Company Ltd.,Equity,3.34%
PB Fintech Ltd.,Equity,2.71%
Max Financial Services Ltd.,Equity,2.33%
SBI Cards & Payment Services Pvt. Ltd.,Equity,2.33%
ICICI Prudential Life Insurance Company Ltd.,Equity,2.16%
Indian Railway Finance Corporation Ltd.,Equity,1.89%
One 97 Communications Ltd.,Equity,1.76%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.71%
LIC Housing Finance Ltd.,Equity,1.69%
Muthoot Finance Ltd.,Equity,1.66%
Life Insurance Corporation of India,Equity,1.64%
L&T Finance Holding Ltd.,Equity,1.45%
Aditya Birla Capital Ltd.,Equity,1.39%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.32%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,1.10%
CRISIL Ltd.,Equity,1.08%
General Insurance Corporation of India Ltd.,Equity,0.79%
Nippon Life India Asset Management Ltd.,Equity,0.76%
ICICI Securities Ltd.,Equity,0.60%
The New India Assurance Company Ltd.,Equity,0.54%
Net Receivables/(Payable),Others,0.28%
