Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,13.58%
Reliance Industries Ltd.,Equity,9.24%
ICICI Bank Ltd.,Equity,7.39%
Infosys Ltd.,Equity,5.82%
Larsen & Toubro Ltd.,Equity,4.41%
ITC Ltd.,Equity,4.33%
Tata Consultancy Services Ltd.,Equity,4.06%
Axis Bank Ltd.,Equity,3.23%
Kotak Mahindra Bank Ltd.,Equity,2.97%
Bharti Airtel Ltd.,Equity,2.76%
State Bank Of India,Equity,2.60%
Hindustan Unilever Ltd.,Equity,2.51%
Bajaj Finance Ltd.,Equity,2.15%
HCL Technologies Ltd.,Equity,1.64%
Mahindra & Mahindra Ltd.,Equity,1.64%
Asian Paints Ltd.,Equity,1.62%
Titan Company Ltd.,Equity,1.62%
National Thermal Power Corporation Ltd.,Equity,1.56%
Tata Motors Ltd.,Equity,1.45%
Maruti Suzuki India Ltd.,Equity,1.44%
Sun Pharmaceuticals Ind Ltd.,Equity,1.44%
Ultratech Cement Ltd.,Equity,1.28%
Tata Steel Ltd.,Equity,1.20%
Power Grid Corporation Of India Ltd.,Equity,1.14%
Indusind Bank Ltd.,Equity,1.12%
Nestle India Ltd.,Equity,1.00%
Bajaj Finserv Ltd.,Equity,0.97%
Hindalco Industries Ltd.,Equity,0.95%
Coal India Ltd.,Equity,0.91%
JSW Steel Ltd.,Equity,0.89%
Oil & Natural Gas Corporation Ltd.,Equity,0.85%
Tech Mahindra Ltd.,Equity,0.84%
Grasim Industries Ltd.,Equity,0.83%
Bajaj Auto Ltd.,Equity,0.81%
Adani Ports and Special Economic Zone Ltd.,Equity,0.80%
Adani Enterprises Ltd.,Equity,0.79%
Dr Reddys Laboratories Ltd.,Equity,0.75%
HDFC Life Insurance Company Ltd.,Equity,0.72%
Wipro Ltd.,Equity,0.70%
Tata Consumer Products Ltd.,Equity,0.69%
Cipla Ltd.,Equity,0.69%
SBI Life Insurance Company Ltd.,Equity,0.68%
Britannia Industries Ltd.,Equity,0.67%
Ltimindtree Ltd.,Equity,0.61%
Apollo Hospitals Enterprise Ltd.,Equity,0.61%
Eicher Motors Ltd.,Equity,0.60%
Hero Motocorp Ltd.,Equity,0.57%
Divi Laboratories Ltd.,Equity,0.53%
Bharat Petroleum Corporation Ltd.,Equity,0.45%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.31%
Triparty Repo,Others,-0.40%
