Company Name,Asset Type,Percentage Allocation
Power Finance Corporation Ltd.,Equity,2.13%
REC Ltd.,Equity,1.96%
Max Healthcare Institute Ltd.,Equity,1.95%
Adani Power Ltd.,Equity,1.94%
The Indian Hotels Company Ltd.,Equity,1.48%
Coforge Ltd.,Equity,1.47%
Persistent Systems Ltd.,Equity,1.46%
Au Small Finance Bank Ltd.,Equity,1.46%
Yes Bank Ltd.,Equity,1.44%
Tube Investments Of India Ltd.,Equity,1.42%
The Federal Bank Ltd.,Equity,1.34%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.30%
HDFC Asset Management Company Ltd.,Equity,1.23%
Lupin Ltd.,Equity,1.23%
Bharat Forge Ltd.,Equity,1.22%
Tata Elxsi Ltd.,Equity,1.17%
Aurobindo Pharma Ltd.,Equity,1.17%
The Supreme Industries Ltd.,Equity,1.13%
CG Power & Industrial Solutions Ltd.,Equity,1.12%
APL Apollo Tubes Ltd.,Equity,1.05%
Cummins India Ltd.,Equity,1.02%
Sona Blw Precision Forgings Ltd.,Equity,1.02%
MRF Ltd.,Equity,1.01%
Alkem Laboratories Ltd.,Equity,1.00%
Ashok Leyland Ltd.,Equity,1.00%
Polycab India Ltd.,Equity,0.98%
Hindustan Petroleum Corporation Ltd.,Equity,0.98%
Zee Entertainment Enterprises Ltd.,Equity,0.97%
Bharat Heavy Electricals Ltd.,Equity,0.96%
Macrotech Developers Ltd.,Equity,0.95%
KPIT Technologies Ltd.,Equity,0.94%
Dixon Technologies (India) Ltd.,Equity,0.94%
NMDC Ltd.,Equity,0.92%
Fsn ECommerce Ventures Ltd.,Equity,0.92%
Sundaram Finance Ltd.,Equity,0.91%
Page Industries Ltd.,Equity,0.91%
Container Corporation Of India Ltd.,Equity,0.90%
Max Financial Services Ltd.,Equity,0.90%
Godrej Properties Ltd.,Equity,0.88%
Mphasis Ltd.,Equity,0.87%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.87%
Voltas Ltd.,Equity,0.86%
Fortis Healthcare Ltd.,Equity,0.84%
Jubilant Foodworks Ltd.,Equity,0.83%
PB Fintech Ltd.,Equity,0.82%
The Phoenix Mills Ltd.,Equity,0.80%
Tata Communications Ltd.,Equity,0.79%
Balkrishna Industries Ltd.,Equity,0.78%
Union Bank Of India,Equity,0.78%
GMR Airports Infrastructure Ltd.,Equity,0.77%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.76%
Jindal Stainless Ltd.,Equity,0.76%
Bandhan Bank Ltd.,Equity,0.70%
Indian Railway Finance Corporation Ltd.,Equity,0.70%
Dalmia Bharat Ltd.,Equity,0.69%
Steel Authority Of India Ltd.,Equity,0.69%
ACC Ltd.,Equity,0.69%
NHPC Ltd.,Equity,0.67%
JSW Energy Ltd.,Equity,0.67%
Tata Chemicals Ltd.,Equity,0.66%
Deepak Nitrite Ltd.,Equity,0.65%
Laurus Labs Ltd.,Equity,0.65%
Oberoi Realty Ltd.,Equity,0.64%
Petronet Lng Ltd.,Equity,0.64%
Prestige Estates Projects Ltd.,Equity,0.64%
One 97 Communications Ltd.,Equity,0.64%
Solar Industries India Ltd.,Equity,0.63%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.63%
LIC Housing Finance Ltd.,Equity,0.62%
J. K. Cement Ltd.,Equity,0.61%
Torrent Power Ltd.,Equity,0.60%
Apollo Tyres Ltd.,Equity,0.58%
IPCA Laboratories Ltd.,Equity,0.57%
Patanjali Foods Ltd.,Equity,0.57%
Indian Bank,Equity,0.57%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.57%
Indraprastha Gas Ltd.,Equity,0.56%
Gujarat Fluorochemicals Ltd.,Equity,0.56%
AIA Engineering Ltd.,Equity,0.56%
L&T Technology Services Ltd.,Equity,0.55%
Delhivery Ltd.,Equity,0.55%
Bank Of India,Equity,0.53%
L&T Finance Holding Ltd.,Equity,0.52%
Sundram Fasteners Ltd.,Equity,0.51%
