Company Name,Asset Type,Percentage Allocation
Nestle India Ltd.,Equity,4.04%
Sun Pharmaceuticals Ind Ltd.,Equity,4.02%
Larsen & Toubro Ltd.,Equity,3.98%
Maruti Suzuki India Ltd.,Equity,3.90%
Bajaj Auto Ltd.,Equity,3.90%
ICICI Bank Ltd.,Equity,3.89%
ITC Ltd.,Equity,3.83%
National Thermal Power Corporation Ltd.,Equity,3.76%
Colgate-Palmolive Ltd.,Equity,3.74%
Britannia Industries Ltd.,Equity,3.69%
Bharti Airtel Ltd.,Equity,3.67%
TVS Motor Company Ltd.,Equity,3.66%
Ultratech Cement Ltd.,Equity,3.64%
Titan Company Ltd.,Equity,3.64%
Dr Reddys Laboratories Ltd.,Equity,3.59%
Tata Consumer Products Ltd.,Equity,3.48%
MRF Ltd.,Equity,3.48%
Alkem Laboratories Ltd.,Equity,3.40%
Grasim Industries Ltd.,Equity,3.39%
Indian Oil Corporation Ltd.,Equity,3.14%
Oil & Natural Gas Corporation Ltd.,Equity,3.12%
Axis Bank Ltd.,Equity,3.04%
Coal India Ltd.,Equity,3.03%
Godrej Consumer Products Ltd.,Equity,2.98%
Torrent Pharmaceuticals Ltd.,Equity,2.78%
Bosch Ltd.,Equity,2.50%
Siemens Ltd.,Equity,2.33%
Zydus Lifesciences Ltd.,Equity,2.30%
Cummins India Ltd.,Equity,2.26%
Triparty Repo,Others,1.72%
Abbott India Ltd.,Equity,1.60%
Cash Margin,Debt,0.00%
Current Assets,Others,-1.50%
