Company Name,Asset Type,Percentage Allocation
7.18 Tamil Nadu SDL Jul 26 2027,Debt,30.85%
7.2 Maharashtra SDL  Aug  9 2027,Debt,20.27%
7.33 Maharashtra SDL  Sep 13 2027,Debt,9.07%
7.45 Rajasthan SDL Sep 27 2027,Debt,7.43%
7.17 Gujarat SDL Jul 26 2027,Debt,5.02%
7.27 Tamil Nadu SDL Jul 12 2027,Debt,4.62%
7.46 Madhya Pradesh SDL Sep 27 2027,Debt,3.71%
7.47 Chhattisgarh SDL Sep 27 2027,Debt,3.25%
7.29 Uttar Pradesh SDL Jul 12 2027,Debt,2.86%
Net Receivables/(Payable),Others,2.75%
7.78 Telangana SDL May 29 2027,Debt,2.34%
7.26 Haryana SDL  Jun 28 2027,Debt,1.85%
7.38 GOI Jun 20 2027,Debt,1.40%
8.31 Rajasthan SDL Apr  8 2027,Debt,0.95%
7.25 Kerala SDL  Jul 12 2027,Debt,0.92%
7.19 Uttar Pradesh SDL Jul 26 2027,Debt,0.92%
7.25 Gujarat SDL Aug 23 2027,Debt,0.46%
7.2 Gujarat SDL Jun 14 2027,Debt,0.46%
7.24 Tamil Nadu SDL Jun 28 2027,Debt,0.44%
Triparty Repo,Others,0.40%
7.23 Tamil Nadu SDL Jun 14 2027,Debt,0.02%
