Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,3.66%
Adani Green Energy Ltd.,Equity,1.33%
Adani Total Gas Ltd. (Erstwhile Adani Gas Ltd.),Equity,1.31%
Hindustan Aeronautics Ltd.,Equity,1.21%
Trent Ltd.,Equity,1.20%
Indian Oil Corporation Ltd.,Equity,1.18%
DLF Ltd.,Equity,1.16%
Hero Motocorp Ltd.,Equity,1.13%
GAIL (India) Ltd.,Equity,1.12%
Bharat Electronics Ltd.,Equity,1.12%
Bajaj Auto Ltd.,Equity,1.12%
TVS Motor Company Ltd.,Equity,1.11%
Coal India Ltd.,Equity,1.10%
National Thermal Power Corporation Ltd.,Equity,1.10%
Hindalco Industries Ltd.,Equity,1.09%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.08%
Life Insurance Corporation of India,Equity,1.08%
Bharat Petroleum Corporation Ltd.,Equity,1.08%
Ultratech Cement Ltd.,Equity,1.07%
Adani Transmission Ltd.,Equity,1.07%
Tata Power Company Ltd.,Equity,1.07%
Varun Beverages Ltd.,Equity,1.07%
Torrent Pharmaceuticals Ltd.,Equity,1.05%
Adani Ports and Special Economic Zone Ltd.,Equity,1.05%
Interglobe Aviation Ltd.,Equity,1.03%
Colgate-Palmolive Ltd.,Equity,1.02%
Tata Consumer Products Ltd.,Equity,1.02%
Info Edge (India) Ltd.,Equity,1.01%
Ambuja Cements Ltd.,Equity,1.01%
Larsen & Toubro Ltd.,Equity,1.01%
Zomato Ltd.,Equity,1.01%
Punjab National Bank,Equity,1.01%
Power Grid Corporation Of India Ltd.,Equity,1.00%
Eicher Motors Ltd.,Equity,1.00%
Muthoot Finance Ltd.,Equity,1.00%
Canara Bank,Equity,0.99%
Ltimindtree Ltd.,Equity,0.98%
Britannia Industries Ltd.,Equity,0.97%
Adani Enterprises Ltd.,Equity,0.97%
Bosch Ltd.,Equity,0.97%
Godrej Consumer Products Ltd.,Equity,0.97%
Nestle India Ltd.,Equity,0.96%
HCL Technologies Ltd.,Equity,0.96%
Zydus Lifesciences Ltd.,Equity,0.96%
Wipro Ltd.,Equity,0.95%
Bharti Airtel Ltd.,Equity,0.95%
Vedanta Ltd.,Equity,0.95%
JSW Steel Ltd.,Equity,0.94%
Indusind Bank Ltd.,Equity,0.94%
Apollo Hospitals Enterprise Ltd.,Equity,0.94%
Titan Company Ltd.,Equity,0.94%
Avenue Supermarts Ltd.,Equity,0.94%
HDFC Bank Ltd.,Equity,0.93%
Sun Pharmaceuticals Ind Ltd.,Equity,0.93%
SRF Ltd.,Equity,0.93%
Reliance Industries Ltd.,Equity,0.92%
SBI Life Insurance Company Ltd.,Equity,0.92%
Shree Cement Ltd.,Equity,0.92%
United Spirits Ltd.,Equity,0.92%
ABB India Ltd.,Equity,0.92%
Siemens Ltd.,Equity,0.92%
Oil & Natural Gas Corporation Ltd.,Equity,0.92%
Grasim Industries Ltd.,Equity,0.91%
Axis Bank Ltd.,Equity,0.91%
Mahindra & Mahindra Ltd.,Equity,0.91%
Pidilite Industries Ltd.,Equity,0.91%
Bank Of Baroda,Equity,0.91%
Tata Steel Ltd.,Equity,0.91%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.90%
State Bank Of India,Equity,0.90%
Kotak Mahindra Bank Ltd.,Equity,0.90%
Jindal Steel & Power Ltd.,Equity,0.90%
ICICI Lombard General Insurance Company Ltd.,Equity,0.90%
Hindustan Unilever Ltd.,Equity,0.90%
Bajaj Finserv Ltd.,Equity,0.90%
Tata Motors Ltd.,Equity,0.89%
Cipla Ltd.,Equity,0.89%
Dr Reddys Laboratories Ltd.,Equity,0.89%
Tata Consultancy Services Ltd.,Equity,0.89%
Infosys Ltd.,Equity,0.88%
ICICI Bank Ltd.,Equity,0.88%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.88%
Bajaj Holdings & Investment Ltd.,Equity,0.88%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.87%
ITC Ltd.,Equity,0.87%
PI Industries Ltd.,Equity,0.87%
Adani Wilmar Ltd.,Equity,0.87%
Divi Laboratories Ltd.,Equity,0.86%
Asian Paints Ltd.,Equity,0.86%
Berger Paints India Ltd.,Equity,0.84%
Dabur India Ltd.,Equity,0.84%
HDFC Life Insurance Company Ltd.,Equity,0.83%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,0.83%
Tech Mahindra Ltd.,Equity,0.83%
Maruti Suzuki India Ltd.,Equity,0.82%
Havells India Ltd.,Equity,0.81%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.81%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.80%
Marico Ltd.,Equity,0.79%
Bajaj Finance Ltd.,Equity,0.78%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.77%
Tata Motors - DVR - A - ORDY,Equity,0.16%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
Cash,Others,-0.12%
