Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,5.82%
HDFC Bank Ltd.,Equity,4.50%
Reliance Industries Ltd.,Equity,4.18%
Infosys Ltd.,Equity,3.13%
Bajaj Finance Ltd.,Equity,1.93%
J. K. Cement Ltd.,Equity,1.87%
Tata Motors Ltd.,Equity,1.87%
Coforge Ltd.,Equity,1.85%
TVS Motor Company Ltd.,Equity,1.85%
Polycab India Ltd.,Equity,1.80%
Fortis Healthcare Ltd.,Equity,1.76%
Titan Company Ltd.,Equity,1.74%
Bharti Airtel Ltd.,Equity,1.72%
Trent Ltd.,Equity,1.71%
Bharat Electronics Ltd.,Equity,1.70%
CBLO(CCIL),Others,1.65%
State Bank Of India,Equity,1.64%
Sun Pharmaceuticals Ind Ltd.,Equity,1.61%
United Spirits Ltd.,Equity,1.56%
Bharat Forge Ltd.,Equity,1.55%
The Federal Bank Ltd.,Equity,1.52%
Ltimindtree Ltd.,Equity,1.50%
Schaeffler India Ltd.,Equity,1.49%
REC Ltd.,Equity,1.45%
Hindustan Aeronautics Ltd.,Equity,1.41%
Indusind Bank Ltd.,Equity,1.40%
Jindal Steel & Power Ltd.,Equity,1.38%
Go Fashion (India) Ltd.,Equity,1.35%
Interglobe Aviation Ltd.,Equity,1.31%
Jubilant Foodworks Ltd.,Equity,1.29%
UNO Minda Ltd.,Equity,1.28%
ABB India Ltd.,Equity,1.24%
Affle (India) Ltd.,Equity,1.23%
Timken India Ltd.,Equity,1.22%
The Phoenix Mills Ltd.,Equity,1.21%
Bank Of India,Equity,1.21%
Devyani International Ltd.,Equity,1.20%
Aarti Industries Ltd.,Equity,1.19%
Container Corporation Of India Ltd.,Equity,1.17%
The Ramco Cements Ltd.,Equity,1.16%
The Indian Hotels Company Ltd.,Equity,1.15%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.15%
Kajaria Ceramics Ltd.,Equity,1.12%
Manappuram Finance Ltd.,Equity,1.10%
Axis Bank Ltd.,Equity,1.09%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.08%
Chalet Hotels Ltd.,Equity,1.06%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.05%
Honeywell Automation India Ltd.,Equity,1.05%
Sona Blw Precision Forgings Ltd.,Equity,1.04%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.01%
Ashok Leyland Ltd.,Equity,1.01%
Sundram Fasteners Ltd.,Equity,0.93%
Sunteck Realty Ltd.,Equity,0.93%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.92%
Rategain Travel Technologies Ltd.,Equity,0.89%
Atul Ltd.,Equity,0.89%
Kalpataru Projects International Ltd.,Equity,0.85%
Rolex Rings Ltd.,Equity,0.84%
Fsn ECommerce Ventures Ltd.,Equity,0.84%
VIP Industries Ltd.,Equity,0.80%
Clean Science & Technology Ltd.,Equity,0.80%
Navin Fluorine International Ltd.,Equity,0.78%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,0.77%
Gokaldas Exports Ltd.,Equity,0.73%
HDFC Life Insurance Company Ltd.,Equity,0.70%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,0.69%
Mahindra & Mahindra Ltd.,Equity,0.62%
MTAR Technologies Ltd.,Equity,0.59%
Craftsman Automation Ltd.,Equity,0.59%
Bank Of Baroda,Equity,0.50%
One 97 Communications Ltd.,Equity,0.34%
Honasa Consumer Ltd.,Equity,0.33%
Dalmia Bharat Ltd.,Equity,0.24%
Samhi Hotels Ltd.,Equity,0.09%
Net Receivables/(Payable),Others,-0.18%
