Company Name,Asset Type,Percentage Allocation
Bajaj Finance Ltd.,Equity,5.86%
Torrent Power Ltd.,Equity,5.02%
Cholamandalam Investment & Finance Company Ltd.,Equity,4.32%
Avenue Supermarts Ltd.,Equity,3.80%
Tata Elxsi Ltd.,Equity,3.52%
Sundaram Finance Ltd.,Equity,3.24%
Coforge Ltd.,Equity,3.23%
Sona Blw Precision Forgings Ltd.,Equity,2.62%
CG Power & Industrial Solutions Ltd.,Equity,2.31%
PI Industries Ltd.,Equity,2.31%
The Indian Hotels Company Ltd.,Equity,1.99%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.91%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,1.72%
Persistent Systems Ltd.,Equity,1.52%
The Supreme Industries Ltd.,Equity,1.38%
Larsen & Toubro Ltd.,Equity,1.36%
HDFC Bank Ltd.,Equity,1.36%
Microsoft Corporation,Equity,1.31%
TVS Motor Company Ltd.,Equity,1.30%
Tata Motors Ltd.,Equity,1.21%
Zomato Ltd.,Equity,1.20%
Tata Consultancy Services Ltd.,Equity,1.20%
Divi Laboratories Ltd.,Equity,1.19%
DLF Ltd.,Equity,1.18%
Clean Science & Technology Ltd.,Equity,1.12%
Mankind Pharma Ltd.,Equity,1.07%
Nestle India Ltd.,Equity,0.98%
Dixon Technologies (India) Ltd.,Equity,0.97%
The Phoenix Mills Ltd.,Equity,0.96%
Bharti Airtel Ltd.,Equity,0.96%
Alphabet Inc,Equity,0.95%
Linde India Ltd.,Equity,0.95%
Axis Mutual Fund (Axis NIFTY 50 ETF),Equity,0.94%
Global Health Ltd.,Equity,0.93%
ICICI Bank Ltd.,Equity,0.93%
CreditAccess Grameen Ltd.,Equity,0.91%
Pidilite Industries Ltd.,Equity,0.88%
Bharat Electronics Ltd.,Equity,0.84%
Nvidia Corp,Equity,0.84%
SBI Life Insurance Company Ltd.,Equity,0.77%
Tata Power Company Ltd.,Equity,0.76%
Info Edge (India) Ltd.,Equity,0.75%
Ltimindtree Ltd.,Equity,0.74%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.72%
Tube Investments Of India Ltd.,Equity,0.72%
Jio Financial Services Ltd.,Equity,0.71%
Sumitomo Chemical India Ltd.,Equity,0.70%
AIA Engineering Ltd.,Equity,0.70%
Vijaya Diagnostic Centre Ltd.,Equity,0.68%
Minda Corporation Ltd.,Equity,0.67%
CBLO(CCIL),Others,0.67%
United Health Group Inc.,Equity,0.66%
Siemens AG,Equity,0.64%
ELI Lilly Ord Shs,Equity,0.63%
Mphasis Ltd.,Equity,0.62%
United Spirits Ltd.,Equity,0.62%
Visa Inc,Equity,0.61%
Facebook,Equity,0.60%
International Fund,Equity,0.58%
Netflix Inc,Equity,0.58%
Adobe Sys Inc,Equity,0.57%
Arista Networks Inc.,Equity,0.57%
Booking Holdings Inc.,Equity,0.57%
Sony Corp,Equity,0.55%
Net Receivables/(Payable),Others,0.55%
KEI Industries Ltd.,Equity,0.54%
International Fund,Equity,0.53%
Coca Cola Company,Equity,0.53%
Bunzl plc,Equity,0.53%
Merck & Company STK,Equity,0.53%
AstraZeneca Plc.,Equity,0.53%
UNO Minda Ltd.,Equity,0.53%
Anthem Inc.,Equity,0.53%
Interglobe Aviation Ltd.,Equity,0.52%
Parker-Hannifin Corp,Equity,0.52%
Taiwan Semiconductor Manufacturing Company Ltd.,Equity,0.52%
Medtronic Plc.,Equity,0.49%
Lowe S Companies Inc,Equity,0.49%
AutoZone Inc.,Equity,0.48%
AIA Group Ltd.,Equity,0.48%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.48%
Sun Pharmaceuticals Ind Ltd.,Equity,0.47%
Reckitt Benckiser Ltd.,Equity,0.46%
Sanofi  ADR,Equity,0.46%
Oracle Corp,Equity,0.45%
Alcon Inc.,Equity,0.45%
Bharat Dynamics Ltd.,Equity,0.40%
Schaeffler India Ltd.,Equity,0.38%
RHI Magnesita India Ltd.,Equity,0.33%
Privi Speciality Chemicals Ltd.,Equity,0.29%
Vedant Fashions Pvt. Ltd.,Equity,0.24%
Grindwell Norton Ltd.,Equity,0.20%
Torrent Pharmaceuticals Ltd.,Equity,0.13%
Godrej Consumer Products Ltd.,Equity,0.13%
Mrs Bectors Food Specialities Ltd.,Equity,0.08%
Navin Fluorine International Ltd.,Equity,0.06%
Motherson Sumi Wiring India Ltd.,Equity,0.00%
Maruti Suzuki India Ltd.,Equity,0.00%
