Company Name,Asset Type,Percentage Allocation
NHPC Ltd.,Equity,4.92%
HDFC Bank Ltd.,Equity,4.40%
Triparty Repo,Others,3.78%
Concord Biotech Ltd.,Equity,3.41%
Indusind Bank Ltd.,Equity,3.29%
Larsen & Toubro Ltd.,Equity,3.11%
Coforge Ltd.,Equity,3.07%
Dalmia Bharat Ltd.,Equity,3.04%
Zomato Ltd.,Equity,2.93%
Axis Bank Ltd.,Equity,2.84%
Indian Renewable Energy Development Agency (Ireda),Equity,2.71%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,2.69%
ICICI Bank Ltd.,Equity,2.56%
PB Fintech Ltd.,Equity,2.45%
The Federal Bank Ltd.,Equity,2.41%
The Indian Hotels Company Ltd.,Equity,2.26%
The Phoenix Mills Ltd.,Equity,2.08%
K P R Mill Ltd.,Equity,2.06%
Jindal Stainless Ltd.,Equity,2.06%
Tata Motors Ltd.,Equity,2.01%
Reliance Industries Ltd.,Equity,2.00%
Titan Company Ltd.,Equity,1.99%
Nestle India Ltd.,Equity,1.92%
Tata Consultancy Services Ltd.,Equity,1.91%
Brigade Enterprises Ltd.,Equity,1.82%
CIE Automotive India Ltd.,Equity,1.71%
PNB Housing Finance Ltd.,Equity,1.69%
Abbott India Ltd.,Equity,1.65%
The Jammu & Kashmir Bank Ltd.,Equity,1.65%
Motherson Sumi Wiring India Ltd.,Equity,1.59%
ITC Ltd.,Equity,1.55%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.42%
CRISIL Ltd.,Equity,1.34%
Bharti Airtel Ltd.,Equity,1.33%
NLC India Ltd.,Equity,1.30%
Ltimindtree Ltd.,Equity,1.30%
Alkem Laboratories Ltd.,Equity,1.29%
Hatsun Agro Product Ltd.,Equity,1.23%
Affle (India) Ltd.,Equity,1.21%
ABB India Ltd.,Equity,1.20%
India Shelter Finance Corporation Ltd.,Equity,1.17%
Mahindra & Mahindra Ltd.,Equity,1.16%
Schaeffler India Ltd.,Equity,1.15%
Infosys Ltd.,Equity,1.11%
Treasury Bill (364D),Others,1.02%
APL Apollo Tubes Ltd.,Equity,0.95%
Escorts Kubota Ltd.,Equity,0.92%
Carborundum Universal Ltd.,Equity,0.92%
Ajanta Pharma Ltd.,Equity,0.91%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.83%
Punjab National Bank,Equity,0.59%
Westlife Foodworld Ltd.,Equity,0.42%
Net Receivables/(Payable),Others,-0.31%
