Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,5.48%
HDFC Bank Ltd.,Equity,5.14%
Bharat Electronics Ltd.,Equity,3.47%
UNO Minda Ltd.,Equity,3.02%
Trent Ltd.,Equity,2.88%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.75%
Max Healthcare Institute Ltd.,Equity,2.64%
Larsen & Toubro Ltd.,Equity,2.49%
Polycab India Ltd.,Equity,2.34%
TVS Motor Company Ltd.,Equity,2.33%
Axis Bank Ltd.,Equity,2.30%
Bharti Airtel Ltd.,Equity,2.30%
The Indian Hotels Company Ltd.,Equity,2.29%
State Bank Of India,Equity,2.23%
Bajaj Finance Ltd.,Equity,2.19%
Ultratech Cement Ltd.,Equity,2.14%
The Federal Bank Ltd.,Equity,2.03%
Triparty Repo,Others,2.03%
PI Industries Ltd.,Equity,1.92%
Tata Consultancy Services Ltd.,Equity,1.82%
Titan Company Ltd.,Equity,1.81%
Sun Pharmaceuticals Ind Ltd.,Equity,1.76%
Ashok Leyland Ltd.,Equity,1.75%
Reliance Industries Ltd.,Equity,1.67%
Infosys Ltd.,Equity,1.64%
Max Financial Services Ltd.,Equity,1.60%
ABB India Ltd.,Equity,1.59%
Oberoi Realty Ltd.,Equity,1.56%
Maruti Suzuki India Ltd.,Equity,1.55%
Mphasis Ltd.,Equity,1.42%
AIA Engineering Ltd.,Equity,1.42%
CreditAccess Grameen Ltd.,Equity,1.36%
Bharat Forge Ltd.,Equity,1.34%
Abbott India Ltd.,Equity,1.29%
Sona Blw Precision Forgings Ltd.,Equity,1.29%
Tata Motors Ltd.,Equity,1.25%
Interglobe Aviation Ltd.,Equity,1.19%
APL Apollo Tubes Ltd.,Equity,1.14%
Praj Industries Ltd.,Equity,1.09%
Tata Consumer Products Ltd.,Equity,1.07%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.03%
The Ramco Cements Ltd.,Equity,1.01%
LIC Housing Finance Ltd.,Equity,1.00%
Dixon Technologies (India) Ltd.,Equity,0.96%
Mahindra & Mahindra Ltd.,Equity,0.91%
Bharat Dynamics Ltd.,Equity,0.90%
Century Textiles & Industries Ltd.,Equity,0.85%
Kansai Nerolac Paints Ltd.,Equity,0.81%
3M India Ltd.,Equity,0.79%
Schaeffler India Ltd.,Equity,0.79%
Kotak Mahindra Bank Ltd.,Equity,0.78%
Vinati Organics Ltd.,Equity,0.73%
Sundram Fasteners Ltd.,Equity,0.72%
KPIT Technologies Ltd.,Equity,0.64%
Blue Dart Express Ltd.,Equity,0.61%
Honeywell Automation India Ltd.,Equity,0.55%
Torrent Power Ltd.,Equity,0.51%
Ajanta Pharma Ltd.,Equity,0.47%
Global Health Ltd.,Equity,0.46%
TCI Express Ltd.,Equity,0.46%
Bank Of Baroda,Equity,0.45%
Kajaria Ceramics Ltd.,Equity,0.42%
Sundaram Finance Ltd.,Equity,0.37%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.21%
Bata India Ltd.,Equity,0.21%
Dr Lal PathLabs Ltd.,Equity,0.21%
The Supreme Industries Ltd.,Equity,0.20%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.15%
EIH Ltd.,Equity,0.10%
Net Receivables/(Payable),Others,0.09%
