Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.62%
ICICI Bank Ltd.,Equity,4.46%
Reliance Industries Ltd.,Equity,3.83%
Endurance Technologies Ltd.,Equity,3.08%
LIC Housing Finance Ltd.,Equity,2.90%
Ashok Leyland Ltd.,Equity,2.78%
Godrej Consumer Products Ltd.,Equity,2.61%
Alkem Laboratories Ltd.,Equity,2.59%
State Bank Of India,Equity,2.56%
Indusind Bank Ltd.,Equity,2.55%
HCL Technologies Ltd.,Equity,2.52%
Motherson Sumi Wiring India Ltd.,Equity,2.46%
Mahindra & Mahindra Financial Services Ltd.,Equity,2.38%
Kotak Mahindra Bank Ltd.,Equity,2.28%
Hindalco Industries Ltd.,Equity,2.25%
The Federal Bank Ltd.,Equity,2.24%
Colgate-Palmolive Ltd.,Equity,2.18%
Larsen & Toubro Ltd.,Equity,2.13%
Interglobe Aviation Ltd.,Equity,2.13%
Cognizant Technology Solutions Corp,Equity,2.10%
Mahindra & Mahindra Ltd.,Equity,2.07%
Zomato Ltd.,Equity,2.04%
Tata Motors Ltd.,Equity,1.99%
SBI Cards & Payment Services Pvt. Ltd.,Equity,1.97%
Deepak Nitrite Ltd.,Equity,1.94%
Maruti Suzuki India Ltd.,Equity,1.89%
Voltas Ltd.,Equity,1.87%
Zee Entertainment Enterprises Ltd.,Equity,1.84%
Apollo Hospitals Enterprise Ltd.,Equity,1.82%
Info Edge (India) Ltd.,Equity,1.75%
Coforge Ltd.,Equity,1.70%
Delhivery Ltd.,Equity,1.61%
Life Insurance Corporation of India,Equity,1.59%
Tata Steel Ltd.,Equity,1.55%
Laurus Labs Ltd.,Equity,1.51%
Infosys Ltd.,Equity,1.47%
SBI Life Insurance Company Ltd.,Equity,1.44%
City Union Bank Ltd.,Equity,1.42%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,1.39%
Eicher Motors Ltd.,Equity,1.37%
India Shelter Finance Corporation Ltd.,Equity,1.36%
Freshworks Inc.,Equity,1.25%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.24%
Cash,Others,1.23%
Dalmia Bharat Ltd.,Equity,1.21%
Marico Ltd.,Equity,0.92%
Max Healthcare Institute Ltd.,Equity,0.74%
Tata Motors - DVR - A - ORDY,Equity,0.17%
