Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.23%
ICICI Bank Ltd.,Equity,8.20%
Bajaj Finance Ltd.,Equity,7.21%
Avenue Supermarts Ltd.,Equity,6.09%
Tata Consultancy Services Ltd.,Equity,5.57%
Reliance Industries Ltd.,Equity,5.16%
Larsen & Toubro Ltd.,Equity,4.76%
Infosys Ltd.,Equity,4.25%
Ultratech Cement Ltd.,Equity,3.37%
Bharti Airtel Ltd.,Equity,3.11%
Tata Motors Ltd.,Equity,3.10%
Nestle India Ltd.,Equity,2.78%
Mahindra & Mahindra Ltd.,Equity,2.73%
Sun Pharmaceuticals Ind Ltd.,Equity,2.64%
Titan Company Ltd.,Equity,2.59%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.37%
CBLO(CCIL),Others,2.15%
Bajaj Auto Ltd.,Equity,2.12%
Kotak Mahindra Bank Ltd.,Equity,2.07%
Bajaj Finserv Ltd.,Equity,1.94%
DLF Ltd.,Equity,1.80%
Info Edge (India) Ltd.,Equity,1.75%
Interglobe Aviation Ltd.,Equity,1.57%
Pidilite Industries Ltd.,Equity,1.53%
TVS Motor Company Ltd.,Equity,1.39%
Apollo Hospitals Enterprise Ltd.,Equity,1.11%
Zomato Ltd.,Equity,0.99%
Hindustan Unilever Ltd.,Equity,0.83%
Jio Financial Services Ltd.,Equity,0.77%
Maruti Suzuki India Ltd.,Equity,0.72%
Godrej Consumer Products Ltd.,Equity,0.71%
Axis Mutual Fund (Axis NIFTY 50 ETF),Equity,0.69%
State Bank Of India,Equity,0.68%
Tata Consumer Products Ltd.,Equity,0.56%
The Indian Hotels Company Ltd.,Equity,0.53%
National Thermal Power Corporation Ltd.,Equity,0.53%
Coal India Ltd.,Equity,0.49%
Siemens Ltd.,Equity,0.38%
Divi Laboratories Ltd.,Equity,0.33%
Asian Paints Ltd.,Equity,0.33%
ABB India Ltd.,Equity,0.32%
HCL Technologies Ltd.,Equity,0.31%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.29%
Mankind Pharma Ltd.,Equity,0.23%
Net Receivables/(Payable),Others,-0.29%
