Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.98%
ICICI Bank Ltd.,Equity,9.80%
Reliance Industries Ltd.,Equity,6.98%
Infosys Ltd.,Equity,5.34%
Larsen & Toubro Ltd.,Equity,4.51%
ITC Ltd.,Equity,4.03%
Indusind Bank Ltd.,Equity,3.45%
Tata Consultancy Services Ltd.,Equity,3.31%
Axis Bank Ltd.,Equity,3.26%
National Thermal Power Corporation Ltd.,Equity,3.19%
Tata Motors Ltd.,Equity,3.15%
Bajaj Auto Ltd.,Equity,3.07%
Varun Beverages Ltd.,Equity,2.82%
Coal India Ltd.,Equity,2.67%
Grasim Industries Ltd.,Equity,2.58%
Ltimindtree Ltd.,Equity,2.09%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.01%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.01%
Sun Pharmaceuticals Ind Ltd.,Equity,2.01%
Mankind Pharma Ltd.,Equity,2.00%
Power Finance Corporation Ltd.,Equity,1.97%
Titan Company Ltd.,Equity,1.75%
Trent Ltd.,Equity,1.64%
Maruti Suzuki India Ltd.,Equity,1.52%
Interglobe Aviation Ltd.,Equity,1.52%
Mahindra & Mahindra Ltd.,Equity,1.39%
TVS Motor Company Ltd.,Equity,1.38%
Inox Wind Ltd.,Equity,1.04%
HCL Technologies Ltd.,Equity,1.04%
The Phoenix Mills Ltd.,Equity,1.01%
DLF Ltd.,Equity,1.00%
Jupiter Wagons Ltd.,Equity,0.94%
JTL Industries Ltd.,Equity,0.91%
Bandhan Mutual Fund,Debt,0.79%
Triparty Repo,Others,0.64%
L&T Technology Services Ltd.,Equity,0.55%
Persistent Systems Ltd.,Equity,0.51%
Bharat Forge Ltd.,Equity,0.51%
The Indian Hotels Company Ltd.,Equity,0.49%
Landmark Cars Ltd.,Equity,0.49%
Tech Mahindra Ltd.,Equity,0.48%
Eureka Forbes Ltd.,Equity,0.41%
Cash Margin,Debt,0.15%
Cash Margin,Debt,0.00%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
Cash,Others,0.00%
Net Receivables/(Payable),Others,-0.41%
