Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.42%
National Thermal Power Corporation Ltd.,Equity,6.25%
Larsen & Toubro Ltd.,Equity,5.43%
Reliance Industries Ltd.,Equity,4.62%
Bank Of Baroda,Equity,4.47%
State Bank Of India,Equity,4.25%
Maruti Suzuki India Ltd.,Equity,3.82%
ICICI Bank Ltd.,Equity,3.78%
Sun Pharmaceuticals Ind Ltd.,Equity,3.63%
Titan Company Ltd.,Equity,3.60%
Infosys Ltd.,Equity,3.50%
Triparty Repo,Others,2.68%
Tata Consultancy Services Ltd.,Equity,2.65%
Tata Steel Ltd.,Equity,2.53%
DLF Ltd.,Equity,2.50%
Axis Bank Ltd.,Equity,2.48%
HCL Technologies Ltd.,Equity,2.28%
Hero Motocorp Ltd.,Equity,2.17%
Bharat Heavy Electricals Ltd.,Equity,2.11%
Nestle India Ltd.,Equity,1.97%
Mankind Pharma Ltd.,Equity,1.92%
REC Ltd.,Equity,1.89%
ITC Ltd.,Equity,1.87%
CreditAccess Grameen Ltd.,Equity,1.81%
Hindustan Aeronautics Ltd.,Equity,1.73%
Torrent Pharmaceuticals Ltd.,Equity,1.60%
Bajaj Finance Ltd.,Equity,1.58%
Td Power Systems Ltd.,Equity,1.54%
Power Finance Corporation Ltd.,Equity,1.50%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,1.48%
Kaynes Technology India Pvt. Ltd.,Equity,1.39%
Ultratech Cement Ltd.,Equity,1.37%
Tata Motors Ltd.,Equity,1.19%
Endurance Technologies Ltd.,Equity,1.18%
PB Fintech Ltd.,Equity,1.18%
Trent Ltd.,Equity,1.09%
Canara Bank,Equity,1.08%
Jio Financial Services Ltd.,Equity,1.02%
Treasury Bill (364D),Others,0.30%
Net Receivables/(Payable),Others,0.13%
