Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.48%
ICICI Bank Ltd.,Equity,7.04%
Reliance Industries Ltd.,Equity,6.04%
Larsen & Toubro Ltd.,Equity,5.81%
Triparty Repo,Others,5.68%
Tata Consultancy Services Ltd.,Equity,4.82%
ITC Ltd.,Equity,3.93%
Infosys Ltd.,Equity,3.12%
Kotak Mahindra Bank Ltd.,Equity,2.43%
Bharti Airtel Ltd.,Equity,2.19%
Maruti Suzuki India Ltd.,Equity,2.03%
Hitachi Energy India Ltd.,Equity,1.96%
Tata Motors Ltd.,Equity,1.92%
HCL Technologies Ltd.,Equity,1.87%
Trent Ltd.,Equity,1.87%
National Thermal Power Corporation Ltd.,Equity,1.82%
Sun Pharmaceuticals Ind Ltd.,Equity,1.67%
Bosch Ltd.,Equity,1.65%
Hero Motocorp Ltd.,Equity,1.65%
Punjab National Bank,Equity,1.55%
State Bank Of India,Equity,1.54%
Hindustan Unilever Ltd.,Equity,1.42%
Ultratech Cement Ltd.,Equity,1.40%
NHPC Ltd.,Equity,1.37%
Bajaj Finance Ltd.,Equity,1.36%
Oil India Ltd.,Equity,1.33%
Zomato Ltd.,Equity,1.31%
Exide Industries Ltd.,Equity,1.28%
The Indian Hotels Company Ltd.,Equity,1.28%
Bharat Electronics Ltd.,Equity,1.27%
Escorts Kubota Ltd.,Equity,1.27%
Tata Motors - DVR - A - ORDY,Equity,1.21%
GAIL (India) Ltd.,Equity,1.16%
Grasim Industries Ltd.,Equity,1.13%
Nestle India Ltd.,Equity,1.13%
United Spirits Ltd.,Equity,1.13%
Cipla Ltd.,Equity,1.13%
Hindalco Industries Ltd.,Equity,1.11%
Tata Steel Ltd.,Equity,1.04%
Zydus Lifesciences Ltd.,Equity,1.03%
Indusind Bank Ltd.,Equity,1.02%
SBI Life Insurance Company Ltd.,Equity,0.99%
Honeywell Automation India Ltd.,Equity,0.98%
Bharat Petroleum Corporation Ltd.,Equity,0.96%
Birla Corporation Ltd.,Equity,0.92%
Jio Financial Services Ltd.,Equity,0.87%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.80%
Power Grid Corporation Of India Ltd.,Equity,0.68%
HDFC Bank Ltd.,Equity,0.60%
Treasury Bill (364D),Others,0.44%
6.69 GOI Jun 27 2024,Debt,0.29%
Treasury Bill (364D),Others,0.29%
Net Receivables/(Payable),Others,0.15%
Inox India Ltd.,Equity,0.07%
Tata Technologies Ltd.,Equity,0.05%
Derivative,Others,-1.57%
