Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.90%
ICICI Bank Ltd.,Equity,6.96%
Reliance Industries Ltd.,Equity,6.21%
Infosys Ltd.,Equity,5.13%
Larsen & Toubro Ltd.,Equity,4.87%
Triparty Repo,Others,4.22%
Bharti Airtel Ltd.,Equity,3.69%
Tata Consultancy Services Ltd.,Equity,3.40%
ITC Ltd.,Equity,3.37%
Bajaj Finance Ltd.,Equity,3.03%
Ultratech Cement Ltd.,Equity,2.97%
State Bank Of India,Equity,2.87%
Axis Bank Ltd.,Equity,2.83%
National Thermal Power Corporation Ltd.,Equity,2.62%
Sun Pharmaceuticals Ind Ltd.,Equity,2.27%
Tata Motors Ltd.,Equity,2.09%
Hindustan Unilever Ltd.,Equity,1.87%
HCL Technologies Ltd.,Equity,1.65%
Kotak Mahindra Bank Ltd.,Equity,1.64%
Bharat Electronics Ltd.,Equity,1.57%
Mahindra & Mahindra Ltd.,Equity,1.43%
Maruti Suzuki India Ltd.,Equity,1.38%
Titan Company Ltd.,Equity,1.38%
Interglobe Aviation Ltd.,Equity,1.34%
Max Healthcare Institute Ltd.,Equity,1.31%
Bajaj Auto Ltd.,Equity,1.30%
United Spirits Ltd.,Equity,1.29%
SBI Life Insurance Company Ltd.,Equity,1.27%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.24%
Mankind Pharma Ltd.,Equity,1.13%
ABB India Ltd.,Equity,1.09%
Siemens Ltd.,Equity,1.09%
Zomato Ltd.,Equity,1.00%
REC Ltd.,Equity,0.97%
Indusind Bank Ltd.,Equity,0.94%
Page Industries Ltd.,Equity,0.89%
Abbott India Ltd.,Equity,0.87%
Avenue Supermarts Ltd.,Equity,0.82%
Sona Blw Precision Forgings Ltd.,Equity,0.80%
Nestle India Ltd.,Equity,0.75%
PI Industries Ltd.,Equity,0.71%
Dr Reddys Laboratories Ltd.,Equity,0.62%
The Indian Hotels Company Ltd.,Equity,0.58%
Tata Consumer Products Ltd.,Equity,0.55%
Coforge Ltd.,Equity,0.50%
Tech Mahindra Ltd.,Equity,0.44%
Hindustan Aeronautics Ltd.,Equity,0.43%
Ashok Leyland Ltd.,Equity,0.43%
Tata Steel Ltd.,Equity,0.16%
Net Receivables/(Payable),Others,0.13%
