Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.76%
ICICI Bank Ltd.,Equity,9.34%
Axis Bank Ltd.,Equity,7.52%
Mahindra & Mahindra Ltd.,Equity,4.87%
Sun Pharmaceuticals Ind Ltd.,Equity,4.61%
IPCA Laboratories Ltd.,Equity,4.37%
ITC Ltd.,Equity,4.29%
Triparty Repo,Others,4.26%
SBI Life Insurance Company Ltd.,Equity,4.15%
Bajaj Finance Ltd.,Equity,4.12%
Tata Motors Ltd.,Equity,3.47%
Hero Motocorp Ltd.,Equity,3.03%
HCL Technologies Ltd.,Equity,2.96%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,2.53%
State Bank Of India,Equity,2.51%
SBI Cards & Payment Services Pvt. Ltd.,Equity,2.49%
Cipla Ltd.,Equity,2.42%
Oil & Natural Gas Corporation Ltd.,Equity,2.33%
Tech Mahindra Ltd.,Equity,2.09%
Eicher Motors Ltd.,Equity,2.02%
ICICI Lombard General Insurance Company Ltd.,Equity,1.93%
Emami Ltd.,Equity,1.86%
Suven Pharmaceuticals Ltd.,Equity,1.74%
Alembic Pharmaceuticals Ltd.,Equity,1.66%
Jubilant Ingrevia Ltd.,Equity,1.65%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.51%
Infosys Ltd.,Equity,1.51%
Bharat Electronics Ltd.,Equity,1.42%
Power Finance Corporation Ltd.,Equity,1.18%
National Thermal Power Corporation Ltd.,Equity,1.17%
Ratnamani Metals & Tubes Ltd.,Equity,1.07%
Cash Margin,Debt,0.24%
Nifty,Equity,0.06%
Net Receivables/(Payable),Others,-0.15%
