Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.57%
ICICI Bank Ltd.,Equity,6.73%
Reliance Industries Ltd.,Equity,5.54%
Larsen & Toubro Ltd.,Equity,5.15%
ITC Ltd.,Equity,4.94%
Infosys Ltd.,Equity,3.54%
Axis Bank Ltd.,Equity,3.28%
Bharti Airtel Ltd.,Equity,3.00%
State Bank Of India,Equity,2.55%
Kotak Mahindra Bank Ltd.,Equity,2.47%
CBLO(CCIL),Others,2.35%
HCL Technologies Ltd.,Equity,2.33%
Maruti Suzuki India Ltd.,Equity,2.13%
Bajaj Finance Ltd.,Equity,1.97%
Sun Pharmaceuticals Ind Ltd.,Equity,1.88%
Tata Consultancy Services Ltd.,Equity,1.86%
National Thermal Power Corporation Ltd.,Equity,1.59%
Britannia Industries Ltd.,Equity,1.55%
Ultratech Cement Ltd.,Equity,1.47%
Hindustan Unilever Ltd.,Equity,1.46%
TVS Motor Company Ltd.,Equity,1.38%
Eicher Motors Ltd.,Equity,1.19%
The Indian Hotels Company Ltd.,Equity,1.14%
Bajaj Finserv Ltd.,Equity,1.09%
Tata Motors Ltd.,Equity,1.08%
Hindalco Industries Ltd.,Equity,1.03%
The Federal Bank Ltd.,Equity,1.00%
Bajaj Auto Ltd.,Equity,1.00%
Indian Bank,Equity,0.96%
Tata Steel Ltd.,Equity,0.93%
Mahindra & Mahindra Ltd.,Equity,0.93%
Torrent Pharmaceuticals Ltd.,Equity,0.90%
Godrej Consumer Products Ltd.,Equity,0.86%
Bank Of Baroda,Equity,0.86%
Asian Paints Ltd.,Equity,0.86%
Titan Company Ltd.,Equity,0.85%
Trent Ltd.,Equity,0.85%
Alkem Laboratories Ltd.,Equity,0.84%
Bosch Ltd.,Equity,0.81%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.80%
Cipla Ltd.,Equity,0.78%
3M India Ltd.,Equity,0.78%
Tata Consumer Products Ltd.,Equity,0.71%
KPIT Technologies Ltd.,Equity,0.71%
Cummins India Ltd.,Equity,0.70%
Power Grid Corporation Of India Ltd.,Equity,0.67%
Dr Reddys Laboratories Ltd.,Equity,0.66%
Polycab India Ltd.,Equity,0.65%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.65%
ABB India Ltd.,Equity,0.65%
Tata Motors - DVR - A - ORDY,Equity,0.58%
Bharat Petroleum Corporation Ltd.,Equity,0.58%
Ashok Leyland Ltd.,Equity,0.54%
Sundaram Finance Ltd.,Equity,0.54%
Nestle India Ltd.,Equity,0.53%
NMDC Ltd.,Equity,0.53%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.53%
The Phoenix Mills Ltd.,Equity,0.52%
Sona Blw Precision Forgings Ltd.,Equity,0.52%
MRF Ltd.,Equity,0.51%
Tech Mahindra Ltd.,Equity,0.51%
Ltimindtree Ltd.,Equity,0.50%
Indusind Bank Ltd.,Equity,0.49%
Abbott India Ltd.,Equity,0.44%
United Spirits Ltd.,Equity,0.42%
Indian Oil Corporation Ltd.,Equity,0.42%
DLF Ltd.,Equity,0.42%
ICICI Lombard General Insurance Company Ltd.,Equity,0.42%
United Breweries Ltd.,Equity,0.42%
Shree Cement Ltd.,Equity,0.40%
Divi Laboratories Ltd.,Equity,0.35%
Page Industries Ltd.,Equity,0.34%
Nifty,Equity,0.32%
Bank Nifty,Equity,0.30%
Treasury Bill (364D),Others,0.29%
Treasury Bill (91D),Others,0.29%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,0.18%
Inox India Ltd.,Equity,0.03%
Innova Captab Ltd.,Equity,0.03%
Flair Writing Industries Ltd.,Equity,0.01%
Accrued Interest,Others,0.00%
Derivative,Others,-0.62%
Net Receivables/(Payable),Others,-1.05%
