Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,8.56%
Larsen & Toubro Ltd.,Equity,7.95%
HDFC Bank Ltd.,Equity,7.55%
CBLO(CCIL),Others,4.07%
Reliance Industries Ltd.,Equity,3.48%
National Thermal Power Corporation Ltd.,Equity,3.44%
Tata Motors Ltd.,Equity,3.43%
Bajaj Auto Ltd.,Equity,3.35%
Axis Bank Ltd.,Equity,3.32%
Ultratech Cement Ltd.,Equity,3.24%
ITC Ltd.,Equity,3.09%
Bharti Airtel Ltd.,Equity,3.01%
State Bank Of India,Equity,2.82%
Tata Consultancy Services Ltd.,Equity,2.80%
Mphasis Ltd.,Equity,2.73%
Bajaj Finance Ltd.,Equity,2.47%
Persistent Systems Ltd.,Equity,2.45%
Mahindra & Mahindra Ltd.,Equity,2.36%
Titan Company Ltd.,Equity,2.06%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.03%
Zomato Ltd.,Equity,2.01%
Indusind Bank Ltd.,Equity,1.92%
Infosys Ltd.,Equity,1.80%
HCL Technologies Ltd.,Equity,1.69%
Interglobe Aviation Ltd.,Equity,1.48%
Cummins India Ltd.,Equity,1.47%
Sun Pharmaceuticals Ind Ltd.,Equity,1.39%
Bharat Electronics Ltd.,Equity,1.37%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.35%
DLF Ltd.,Equity,1.32%
Bharat Dynamics Ltd.,Equity,1.28%
Birlasoft Ltd.,Equity,1.08%
Coforge Ltd.,Equity,1.08%
Lupin Ltd.,Equity,1.05%
L&T Technology Services Ltd.,Equity,1.02%
CreditAccess Grameen Ltd.,Equity,1.01%
Asian Paints Ltd.,Equity,1.00%
Tata Steel Ltd.,Equity,0.92%
Groww Mutual Fund,Debt,0.89%
JK Lakshmi Cement Ltd.,Equity,0.87%
Sansera Engineering Ltd.,Equity,0.79%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
Net Receivables/(Payable),Others,-1.01%
