Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.25%
ICICI Bank Ltd.,Equity,9.10%
Reliance Industries Ltd.,Equity,6.67%
National Thermal Power Corporation Ltd.,Equity,5.62%
Infosys Ltd.,Equity,5.39%
Larsen & Toubro Ltd.,Equity,4.91%
ITC Ltd.,Equity,4.84%
Axis Bank Ltd.,Equity,4.26%
Bharti Airtel Ltd.,Equity,4.07%
Coal India Ltd.,Equity,3.42%
Kotak Mahindra Bank Ltd.,Equity,3.13%
Tata Consultancy Services Ltd.,Equity,3.05%
Indusind Bank Ltd.,Equity,2.86%
Sun Pharmaceuticals Ind Ltd.,Equity,2.68%
Tata Motors Ltd.,Equity,2.60%
Power Finance Corporation Ltd.,Equity,2.20%
Triparty Repo,Others,2.17%
State Bank Of India,Equity,1.72%
Tata Consumer Products Ltd.,Equity,1.67%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.57%
Lupin Ltd.,Equity,1.47%
Titan Company Ltd.,Equity,1.26%
SRF Ltd.,Equity,1.14%
Ultratech Cement Ltd.,Equity,1.13%
Hindustan Aeronautics Ltd.,Equity,1.08%
Bharat Electronics Ltd.,Equity,1.01%
Dabur India Ltd.,Equity,1.00%
HCL Technologies Ltd.,Equity,0.96%
Aurobindo Pharma Ltd.,Equity,0.82%
Oil & Natural Gas Corporation Ltd.,Equity,0.71%
Hindustan Unilever Ltd.,Equity,0.70%
SBI Life Insurance Company Ltd.,Equity,0.69%
Mankind Pharma Ltd.,Equity,0.68%
Cipla Ltd.,Equity,0.64%
Mahindra & Mahindra Ltd.,Equity,0.62%
Maruti Suzuki India Ltd.,Equity,0.62%
Siemens Ltd.,Equity,0.51%
Hindalco Industries Ltd.,Equity,0.51%
Bajaj Auto Ltd.,Equity,0.44%
Apollo Hospitals Enterprise Ltd.,Equity,0.42%
Tata Steel Ltd.,Equity,0.37%
Zee Entertainment Enterprises Ltd.,Equity,0.34%
Ambuja Cements Ltd.,Equity,0.32%
Life Insurance Corporation of India,Equity,0.32%
United Spirits Ltd.,Equity,0.30%
Wipro Ltd.,Equity,0.27%
Jio Financial Services Ltd.,Equity,0.23%
Bank Of Baroda,Equity,0.20%
Bharat Petroleum Corporation Ltd.,Equity,0.06%
Current Assets,Others,-0.02%
