Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.68%
ICICI Bank Ltd.,Equity,7.72%
Reliance Industries Ltd.,Equity,7.70%
Infosys Ltd.,Equity,5.98%
Larsen & Toubro Ltd.,Equity,4.73%
ITC Ltd.,Equity,3.86%
Axis Bank Ltd.,Equity,3.61%
DLF Ltd.,Equity,3.46%
Sun Pharmaceuticals Ind Ltd.,Equity,3.38%
Oil & Natural Gas Corporation Ltd.,Equity,3.05%
National Thermal Power Corporation Ltd.,Equity,2.78%
Indusind Bank Ltd.,Equity,2.38%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.14%
Current Assets,Others,2.10%
The Phoenix Mills Ltd.,Equity,2.01%
Bharti Airtel Ltd.,Equity,2.00%
Hindustan Unilever Ltd.,Equity,1.98%
Tech Mahindra Ltd.,Equity,1.90%
Coforge Ltd.,Equity,1.87%
Jindal Steel & Power Ltd.,Equity,1.78%
Titan Company Ltd.,Equity,1.64%
Ultratech Cement Ltd.,Equity,1.63%
ICICI Prudential Life Insurance Company Ltd.,Equity,1.59%
Sundaram Finance Ltd.,Equity,1.57%
Mankind Pharma Ltd.,Equity,1.48%
Varun Beverages Ltd.,Equity,1.47%
Kotak Mahindra Bank Ltd.,Equity,1.42%
Dalmia Bharat Ltd.,Equity,1.36%
SBI Life Insurance Company Ltd.,Equity,1.28%
Maruti Suzuki India Ltd.,Equity,1.23%
Asian Paints Ltd.,Equity,1.22%
TVS Motor Company Ltd.,Equity,1.21%
Bharat Electronics Ltd.,Equity,1.10%
Trent Ltd.,Equity,1.09%
PI Industries Ltd.,Equity,1.05%
Apollo Hospitals Enterprise Ltd.,Equity,1.02%
Lupin Ltd.,Equity,0.99%
Multi Commodity Exchange of India Ltd.,Equity,0.95%
Escorts Kubota Ltd.,Equity,0.89%
Zydus Lifesciences Ltd.,Equity,0.82%
Page Industries Ltd.,Equity,0.46%
Triparty Repo,Others,0.44%
