Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,8.71%
ICICI Bank Ltd.,Equity,8.43%
Reliance Industries Ltd.,Equity,7.54%
Larsen & Toubro Ltd.,Equity,7.19%
Infosys Ltd.,Equity,5.54%
Axis Bank Ltd.,Equity,4.69%
Ultratech Cement Ltd.,Equity,4.52%
Maruti Suzuki India Ltd.,Equity,4.15%
Nifty,Equity,3.97%
Bharti Airtel Ltd.,Equity,3.74%
HDFC Bank Ltd.,Equity,3.46%
Sun Pharmaceuticals Ind Ltd.,Equity,2.03%
National Thermal Power Corporation Ltd.,Equity,2.02%
Hero Motocorp Ltd.,Equity,1.86%
ITC Ltd.,Equity,1.81%
Tech Mahindra Ltd.,Equity,1.72%
HCL Technologies Ltd.,Equity,1.66%
Kotak Mahindra Bank Ltd.,Equity,1.47%
Lupin Ltd.,Equity,1.39%
SBI Life Insurance Company Ltd.,Equity,1.38%
Hindalco Industries Ltd.,Equity,1.36%
Bharat Petroleum Corporation Ltd.,Equity,1.28%
DLF Ltd.,Equity,1.25%
Oil & Natural Gas Corporation Ltd.,Equity,1.25%
ICICI Prudential Life Insurance Company Ltd.,Equity,1.19%
Coal India Ltd.,Equity,1.15%
Tata Motors - DVR - A - ORDY,Equity,1.02%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,1.00%
United Breweries Ltd.,Equity,0.98%
HDFC Asset Management Company Ltd.,Equity,0.97%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.88%
Avenue Supermarts Ltd.,Equity,0.87%
United Spirits Ltd.,Equity,0.82%
TVS Motor Company Ltd.,Equity,0.79%
Grasim Industries Ltd.,Equity,0.67%
Interglobe Aviation Ltd.,Equity,0.60%
Bajaj Auto Ltd.,Equity,0.55%
Siemens Ltd.,Equity,0.55%
Mahindra & Mahindra Ltd.,Equity,0.54%
Hindustan Aeronautics Ltd.,Equity,0.54%
Bank Of Baroda,Equity,0.52%
State Bank Of India,Equity,0.51%
Wipro Ltd.,Equity,0.50%
Apollo Hospitals Enterprise Ltd.,Equity,0.48%
Cummins India Ltd.,Equity,0.42%
Trent Ltd.,Equity,0.40%
Zee Entertainment Enterprises Ltd.,Equity,0.40%
ICICI Lombard General Insurance Company Ltd.,Equity,0.36%
Tata Steel Ltd.,Equity,0.35%
Zydus Lifesciences Ltd.,Equity,0.35%
Tata Motors Ltd.,Equity,0.34%
Titan Company Ltd.,Equity,0.32%
Dr Reddys Laboratories Ltd.,Equity,0.31%
GAIL (India) Ltd.,Equity,0.28%
NHPC Ltd.,Equity,0.27%
LIC Housing Finance Ltd.,Equity,0.27%
Alkem Laboratories Ltd.,Equity,0.27%
Power Grid Corporation Of India Ltd.,Equity,0.25%
Hindustan Petroleum Corporation Ltd.,Equity,0.24%
Mankind Pharma Ltd.,Equity,0.23%
Muthoot Finance Ltd.,Equity,0.22%
J M Financial Ltd.,Equity,0.22%
Life Insurance Corporation of India,Equity,0.22%
Treasury Bill (364D),Others,0.21%
Max Financial Services Ltd.,Equity,0.14%
Cipla Ltd.,Equity,0.13%
Syngene International Ltd.,Equity,0.13%
Cash Margin,Debt,0.11%
Treasury Bill (91D),Others,0.10%
Gujarat Pipavav Port Ltd.,Equity,0.10%
Hindustan Unilever Ltd.,Equity,0.10%
Gillette India Ltd.,Equity,0.09%
Treasury Bill (182D),Others,0.08%
Dabur India Ltd.,Equity,0.06%
Birla Corporation Ltd.,Equity,0.06%
Treasury Bill (91D),Others,0.05%
Treasury Bill (364D),Others,0.02%
Current Assets,Others,-0.67%
Derivative,Others,-3.97%
