Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.50%
ICICI Bank Ltd.,Equity,7.18%
Reliance Industries Ltd.,Equity,7.10%
State Bank Of India,Equity,4.36%
Larsen & Toubro Ltd.,Equity,4.08%
Infosys Ltd.,Equity,3.60%
National Thermal Power Corporation Ltd.,Equity,2.99%
ITC Ltd.,Equity,2.79%
Axis Bank Ltd.,Equity,2.76%
Net Receivables/(Payable),Others,2.74%
Bharti Airtel Ltd.,Equity,2.56%
Titan Company Ltd.,Equity,2.55%
HCL Technologies Ltd.,Equity,2.44%
Kotak Mahindra Bank Ltd.,Equity,2.35%
Tata Consultancy Services Ltd.,Equity,2.15%
Sun Pharmaceuticals Ind Ltd.,Equity,2.08%
Bank Of Baroda,Equity,2.05%
Maruti Suzuki India Ltd.,Equity,1.99%
Life Insurance Corporation of India,Equity,1.84%
Tata Motors Ltd.,Equity,1.77%
Hindalco Industries Ltd.,Equity,1.74%
Nestle India Ltd.,Equity,1.66%
Ltimindtree Ltd.,Equity,1.56%
Mankind Pharma Ltd.,Equity,1.56%
Ambuja Cements Ltd.,Equity,1.52%
Hindustan Aeronautics Ltd.,Equity,1.47%
SBI Life Insurance Company Ltd.,Equity,1.37%
Ultratech Cement Ltd.,Equity,1.24%
Interglobe Aviation Ltd.,Equity,1.22%
Cipla Ltd.,Equity,1.21%
Power Grid Corporation Of India Ltd.,Equity,1.17%
Hindustan Unilever Ltd.,Equity,1.16%
Bosch Ltd.,Equity,1.16%
Grasim Industries Ltd.,Equity,1.14%
Indusind Bank Ltd.,Equity,1.06%
E.I.D. Parry India Ltd.,Equity,0.99%
NMDC Ltd.,Equity,0.97%
Jio Financial Services Ltd.,Equity,0.95%
Ircon International Ltd.,Equity,0.91%
PI Industries Ltd.,Equity,0.91%
Ganesha Ecosphere Ltd.,Equity,0.91%
Credo Brands Marketing Ltd.,Equity,0.90%
GAIL (India) Ltd.,Equity,0.86%
Thomas Cook (India) Ltd.,Equity,0.84%
Bharat Dynamics Ltd.,Equity,0.79%
TVS Motor Company Ltd.,Equity,0.70%
Canara Bank,Equity,0.68%
DLF Ltd.,Equity,0.59%
Bharat Petroleum Corporation Ltd.,Equity,0.54%
Coal India Ltd.,Equity,0.50%
Gokaldas Exports Ltd.,Equity,0.37%
Derivative,Others,-0.54%
