Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.07%
ICICI Bank Ltd.,Equity,8.76%
Infosys Ltd.,Equity,5.09%
Reliance Industries Ltd.,Equity,4.27%
Cholamandalam Investment & Finance Company Ltd.,Equity,3.40%
Tata Motors Ltd.,Equity,3.10%
Tech Mahindra Ltd.,Equity,2.99%
Axis Bank Ltd.,Equity,2.89%
Titan Company Ltd.,Equity,2.75%
United Spirits Ltd.,Equity,2.75%
Bharat Electronics Ltd.,Equity,2.73%
Indusind Bank Ltd.,Equity,2.73%
Ltimindtree Ltd.,Equity,2.47%
National Thermal Power Corporation Ltd.,Equity,2.20%
Maruti Suzuki India Ltd.,Equity,2.17%
Bharti Airtel Ltd.,Equity,2.16%
GAIL (India) Ltd.,Equity,2.14%
Nestle India Ltd.,Equity,2.11%
Doms Industries Ltd.,Equity,1.74%
DLF Ltd.,Equity,1.59%
Siemens Ltd.,Equity,1.52%
Au Small Finance Bank Ltd.,Equity,1.52%
Eicher Motors Ltd.,Equity,1.46%
PI Industries Ltd.,Equity,1.44%
Ultratech Cement Ltd.,Equity,1.44%
Asian Paints Ltd.,Equity,1.28%
ABB India Ltd.,Equity,1.27%
Teamlease Services Ltd.,Equity,1.24%
Dixon Technologies (India) Ltd.,Equity,1.21%
Mankind Pharma Ltd.,Equity,1.18%
Apollo Hospitals Enterprise Ltd.,Equity,1.17%
Home First Finance Company India Ltd.,Equity,1.15%
Persistent Systems Ltd.,Equity,1.12%
Zomato Ltd.,Equity,1.08%
Trent Ltd.,Equity,1.06%
Bank Of Baroda,Equity,1.06%
Bharat Dynamics Ltd.,Equity,1.05%
Central Depository Services (India) Ltd.,Equity,1.05%
Max Healthcare Institute Ltd.,Equity,1.05%
Container Corporation Of India Ltd.,Equity,1.04%
Bharat Petroleum Corporation Ltd.,Equity,1.02%
Endurance Technologies Ltd.,Equity,1.00%
Hindustan Aeronautics Ltd.,Equity,0.95%
Net Receivables/(Payable),Others,0.93%
BSE Ltd.,Equity,0.91%
Blue Dart Express Ltd.,Equity,0.90%
Safari Industries (India) Ltd.,Equity,0.80%
Triparty Repo,Others,0.76%
Varun Beverages Ltd.,Equity,0.69%
REC Ltd.,Equity,0.53%
